time,open,high,low,close,tick_volume,spread,real_volume,t
1623718800,1.55301,1.57632,1.55279,1.57632,4414,0,662,2021-06-15 01:00:00+00:00
1623722400,1.57633,1.5877,1.56475,1.5698400000000001,8107,0,757,2021-06-15 02:00:00+00:00
1623726000,1.5698400000000001,1.57491,1.55243,1.5527,4866,0,702,2021-06-15 03:00:00+00:00
1623729600,1.5527,1.56699,1.55145,1.56277,6652,0,771,2021-06-15 04:00:00+00:00
1623733200,1.56278,1.57686,1.56097,1.57227,3901,0,729,2021-06-15 05:00:00+00:00
1623736800,1.57227,1.59748,1.57169,1.5974300000000001,7246,0,761,2021-06-15 06:00:00+00:00
1623740400,1.59747,1.59825,1.57836,1.5865200000000002,7128,0,755,2021-06-15 07:00:00+00:00
1623744000,1.58655,1.60819,1.5833,1.58816,8332,0,787,2021-06-15 08:00:00+00:00
1623747600,1.58815,1.5979999999999999,1.58355,1.5979999999999999,6759,0,752,2021-06-15 09:00:00+00:00
1623751200,1.59799,1.61025,1.57417,1.57961,8703,0,767,2021-06-15 10:00:00+00:00
1623754800,1.57961,1.58864,1.5690300000000001,1.58292,9288,0,758,2021-06-15 11:00:00+00:00
1623758400,1.58292,1.58515,1.57338,1.57602,7606,0,750,2021-06-15 12:00:00+00:00
1623762000,1.57602,1.58427,1.56818,1.57722,7976,0,760,2021-06-15 13:00:00+00:00
1623765600,1.57722,1.58669,1.57123,1.58267,7315,0,774,2021-06-15 14:00:00+00:00
1623769200,1.58267,1.5832600000000001,1.57503,1.57711,4142,0,749,2021-06-15 15:00:00+00:00
1623772800,1.5771,1.5771,1.54779,1.55668,8628,0,782,2021-06-15 16:00:00+00:00
1623776400,1.55603,1.55952,1.5516,1.5566900000000001,7180,0,756,2021-06-15 17:00:00+00:00
1623780000,1.55668,1.5693000000000001,1.55583,1.56694,5226,0,748,2021-06-15 18:00:00+00:00
1623783600,1.56694,1.5772599999999999,1.5601699999999998,1.5772599999999999,6338,0,761,2021-06-15 19:00:00+00:00
1623787200,1.57725,1.58891,1.5745200000000001,1.57566,6146,0,766,2021-06-15 20:00:00+00:00
1623790800,1.57566,1.57693,1.55549,1.5562399999999998,6654,0,753,2021-06-15 21:00:00+00:00
1623794400,1.5562399999999998,1.56052,1.5469300000000001,1.54905,6765,0,767,2021-06-15 22:00:00+00:00
1623798000,1.54905,1.5560800000000001,1.5471599999999999,1.55101,3506,0,656,2021-06-15 23:00:00+00:00
1623801600,1.55101,1.563,1.55092,1.5599699999999999,3489,0,760,2021-06-16 00:00:00+00:00
1623805200,1.5599699999999999,1.56643,1.5564900000000002,1.55655,3744,0,767,2021-06-16 01:00:00+00:00
1623808800,1.55655,1.55655,1.5389300000000001,1.5401099999999999,8151,0,753,2021-06-16 02:00:00+00:00
1623812400,1.5401099999999999,1.5433400000000002,1.52828,1.54297,7012,0,752,2021-06-16 03:00:00+00:00
1623816000,1.54297,1.54947,1.54059,1.548,4703,0,758,2021-06-16 04:00:00+00:00
1623819600,1.548,1.54989,1.53942,1.5482200000000002,5063,0,759,2021-06-16 05:00:00+00:00
1623823200,1.5482200000000002,1.55861,1.54528,1.5569,5545,0,782,2021-06-16 06:00:00+00:00
1623826800,1.55691,1.56169,1.5536400000000001,1.55993,4743,0,748,2021-06-16 07:00:00+00:00
1623830400,1.55994,1.56874,1.55949,1.56718,4009,0,734,2021-06-16 08:00:00+00:00
1623834000,1.56717,1.57335,1.56106,1.56106,4629,0,730,2021-06-16 09:00:00+00:00
1623837600,1.56111,1.57193,1.56111,1.56373,4616,0,743,2021-06-16 10:00:00+00:00
1623841200,1.56372,1.56638,1.55361,1.55361,4684,0,736,2021-06-16 11:00:00+00:00
1623844800,1.55358,1.55565,1.53824,1.54089,5226,0,785,2021-06-16 12:00:00+00:00
1623848400,1.54089,1.54089,1.5123600000000001,1.52346,9763,0,806,2021-06-16 13:00:00+00:00
1623852000,1.52346,1.52346,1.50651,1.51206,8894,0,787,2021-06-16 14:00:00+00:00
1623855600,1.51207,1.5249000000000001,1.50848,1.51695,7053,0,776,2021-06-16 15:00:00+00:00
1623859200,1.51696,1.5212400000000001,1.50132,1.5024899999999999,7234,0,794,2021-06-16 16:00:00+00:00
1623862800,1.50183,1.50454,1.4917,1.5015800000000001,6311,0,769,2021-06-16 17:00:00+00:00
1623866400,1.50157,1.5227,1.4934,1.49574,8705,0,812,2021-06-16 18:00:00+00:00
1623870000,1.49574,1.51491,1.4911400000000001,1.5133,8766,0,783,2021-06-16 19:00:00+00:00
1623873600,1.5133,1.52736,1.4963899999999999,1.51579,15653,0,784,2021-06-16 20:00:00+00:00
1623877200,1.5158,1.52491,1.5157500000000002,1.5162200000000001,4660,0,765,2021-06-16 21:00:00+00:00
1623880800,1.51621,1.51621,1.5032299999999998,1.50959,6275,0,756,2021-06-16 22:00:00+00:00
1623884400,1.50959,1.5131299999999999,1.5034999999999998,1.5046599999999999,5984,0,757,2021-06-16 23:00:00+00:00
