time,open,high,low,close,tick_volume,spread,real_volume,t
1494370800,1738.42,1740.51,1658.67,1698.3,25849,0,0,2017-05-09 23:00:00+00:00
1494374400,1698.99,1710.74,1665.46,1697.9,26469,0,0,2017-05-10 00:00:00+00:00
1494378000,1697.77,1721.32,1694.05,1720.0,10745,0,0,2017-05-10 01:00:00+00:00
1494381600,1719.43,1722.75,1708.86,1716.21,9443,0,0,2017-05-10 02:00:00+00:00
1494385200,1716.2,1728.36,1713.38,1727.69,7359,0,0,2017-05-10 03:00:00+00:00
1494388800,1727.28,1727.69,1709.25,1718.61,14067,0,0,2017-05-10 04:00:00+00:00
1494392400,1719.11,1729.73,1710.71,1728.35,6964,0,0,2017-05-10 05:00:00+00:00
1494396000,1728.3,1729.59,1693.66,1694.09,14534,0,0,2017-05-10 06:00:00+00:00
1494399600,1694.27,1706.38,1679.51,1704.78,13466,0,0,2017-05-10 07:00:00+00:00
1494403200,1704.79,1719.95,1687.15,1715.53,15816,0,0,2017-05-10 08:00:00+00:00
1494406800,1715.54,1717.71,1713.24,1716.58,3828,0,0,2017-05-10 09:00:00+00:00
1494410400,1715.5,1727.33,1714.49,1725.42,9772,0,0,2017-05-10 10:00:00+00:00
1494414000,1725.49,1745.76,1724.74,1742.48,12891,0,0,2017-05-10 11:00:00+00:00
1494417600,1742.49,1745.5,1727.3,1732.04,8025,0,0,2017-05-10 12:00:00+00:00
1494421200,1731.28,1743.35,1723.89,1736.89,9954,0,0,2017-05-10 13:00:00+00:00
1494424800,1736.39,1744.7,1731.86,1737.77,11976,0,0,2017-05-10 14:00:00+00:00
1494428400,1737.76,1744.87,1737.76,1743.22,4554,0,0,2017-05-10 15:00:00+00:00
1494432000,1743.23,1772.44,1742.99,1768.31,12237,0,0,2017-05-10 16:00:00+00:00
1494435600,1768.32,1790.48,1763.14,1789.27,12967,0,0,2017-05-10 17:00:00+00:00
1494439200,1789.37,1790.99,1772.94,1785.4,7233,0,0,2017-05-10 18:00:00+00:00
1494442800,1785.45,1786.0,1774.24,1780.26,6344,0,0,2017-05-10 19:00:00+00:00
1494446400,1780.5,1784.65,1755.69,1763.22,11119,0,0,2017-05-10 20:00:00+00:00
1494450000,1763.23,1770.17,1759.22,1770.17,5004,0,0,2017-05-10 21:00:00+00:00
1494453600,1770.55,1773.53,1764.79,1765.43,5627,0,0,2017-05-10 22:00:00+00:00
1494457200,1765.54,1770.4,1758.59,1760.57,9716,0,0,2017-05-10 23:00:00+00:00
1494460800,1759.58,1762.9,1742.03,1758.93,14226,0,0,2017-05-11 00:00:00+00:00
1494464400,1758.94,1764.2,1755.36,1758.73,8385,0,0,2017-05-11 01:00:00+00:00
1494468000,1758.74,1770.55,1755.09,1770.55,6410,0,0,2017-05-11 02:00:00+00:00
1494471600,1770.56,1770.56,1742.03,1748.26,13672,0,0,2017-05-11 03:00:00+00:00
1494475200,1748.27,1759.86,1747.93,1758.5,5723,0,0,2017-05-11 04:00:00+00:00
1494478800,1758.49,1764.83,1749.71,1764.47,4884,0,0,2017-05-11 05:00:00+00:00
1494482400,1764.59,1769.48,1761.68,1767.65,5156,0,0,2017-05-11 06:00:00+00:00
1494486000,1767.66,1786.49,1767.65,1779.74,10403,0,0,2017-05-11 07:00:00+00:00
1494489600,1779.75,1821.11,1779.74,1818.98,11978,0,0,2017-05-11 08:00:00+00:00
1494493200,1818.97,1820.01,1802.58,1819.99,8931,0,0,2017-05-11 09:00:00+00:00
1494496800,1820.49,1871.18,1820.16,1849.2,19656,0,0,2017-05-11 10:00:00+00:00
1494500400,1848.82,1889.64,1835.51,1858.92,32760,0,0,2017-05-11 11:00:00+00:00
1494504000,1857.5,1877.0,1847.55,1871.49,13286,0,0,2017-05-11 12:00:00+00:00
1494507600,1871.51,1872.78,1847.4,1851.13,17807,0,0,2017-05-11 13:00:00+00:00
1494511200,1850.63,1858.97,1804.33,1858.49,22840,0,0,2017-05-11 14:00:00+00:00
1494514800,1858.48,1861.15,1833.01,1842.5,11728,0,0,2017-05-11 15:00:00+00:00
1494518400,1842.51,1849.42,1838.01,1846.48,8088,0,0,2017-05-11 16:00:00+00:00
1494522000,1846.0,1847.99,1842.73,1844.63,7549,0,0,2017-05-11 17:00:00+00:00
1494525600,1844.59,1858.07,1844.07,1857.55,10296,0,0,2017-05-11 18:00:00+00:00
1494529200,1857.53,1865.39,1852.49,1863.7,12814,0,0,2017-05-11 19:00:00+00:00
1494532800,1863.71,1864.89,1847.66,1852.92,9178,0,0,2017-05-11 20:00:00+00:00
1494536400,1852.93,1854.39,1837.01,1841.72,10090,0,0,2017-05-11 21:00:00+00:00
1494540000,1841.69,1844.32,1820.43,1833.09,16433,0,0,2017-05-11 22:00:00+00:00
1494543600,1834.92,1836.34,1789.5,1803.05,31181,0,0,2017-05-11 23:00:00+00:00
1494547200,1803.08,1828.76,1797.49,1827.57,14163,0,0,2017-05-12 00:00:00+00:00
1494550800,1828.28,1832.96,1818.24,1821.01,15380,0,0,2017-05-12 01:00:00+00:00
1494554400,1821.02,1829.8,1820.17,1826.89,7877,0,0,2017-05-12 02:00:00+00:00
1494558000,1826.93,1828.81,1818.45,1820.1,7482,0,0,2017-05-12 03:00:00+00:00
1494561600,1820.09,1822.11,1813.68,1821.37,8107,0,0,2017-05-12 04:00:00+00:00
1494565200,1821.87,1822.33,1810.74,1812.03,7805,0,0,2017-05-12 05:00:00+00:00
1494568800,1812.16,1814.29,1761.85,1792.27,24735,0,0,2017-05-12 06:00:00+00:00
1494572400,1792.26,1793.69,1757.53,1759.46,15330,0,0,2017-05-12 07:00:00+00:00
1494576000,1759.45,1770.7,1730.52,1764.9,22677,0,0,2017-05-12 08:00:00+00:00
1494579600,1764.91,1797.49,1764.53,1785.39,17850,0,0,2017-05-12 09:00:00+00:00
1494583200,1785.38,1786.21,1771.23,1778.26,14987,0,0,2017-05-12 10:00:00+00:00
1494586800,1778.25,1795.55,1774.51,1795.55,8787,0,0,2017-05-12 11:00:00+00:00
1494590400,1795.56,1822.77,1795.51,1822.45,16290,0,0,2017-05-12 12:00:00+00:00
1494594000,1821.35,1824.16,1800.68,1804.09,11311,0,0,2017-05-12 13:00:00+00:00
1494597600,1804.11,1814.0,1799.76,1805.39,17499,0,0,2017-05-12 14:00:00+00:00
1494601200,1805.4,1810.14,1768.2,1793.7,24173,0,0,2017-05-12 15:00:00+00:00
