time,open,high,low,close,tick_volume,spread
1522710000,110.925,110.934,110.841,110.858,2364,3
1522713600,110.825,110.93,110.728,110.788,6091,37
1522717200,110.804,110.84,110.788,110.81,497,9
1522720800,110.809,110.83,110.713,110.761,2213,3
1522724400,110.761,110.8,110.676,110.78,5915,0
1522728000,110.779,110.915,110.766,110.804,5804,0
1522731600,110.806,110.906,110.774,110.851,3079,2
1522735200,110.852,110.915,110.83,110.89,2903,1
1522738800,110.89,110.93,110.864,110.908,2496,0
1522742400,110.908,110.968,110.825,110.932,4057,0
1522746000,110.932,111.126,110.885,111.014,8797,0
1522749600,111.014,111.217,110.996,111.093,8404,0
1522753200,111.099,111.335,111.082,111.231,7702,0
1522756800,111.23,111.232,111.069,111.148,6515,0
1522760400,111.148,111.224,110.968,110.968,7089,0
1522764000,110.969,111.109,110.966,111.07,6918,0
1522767600,111.071,111.166,110.992,111.156,7371,0
1522771200,111.157,111.201,110.991,111.041,14757,0
1522774800,111.042,111.203,110.938,111.143,15314,0
1522778400,111.145,111.15,110.981,110.992,10906,0
1522782000,110.992,111.04,110.946,110.973,7955,0
1522785600,110.973,111.071,110.927,111.041,7557,0
1522789200,111.041,111.129,110.985,111.109,8177,0
1522792800,111.108,111.203,111.076,111.16,11637,0
1522796400,111.161,111.234,111.138,111.187,1914,0
1522800000,111.132,111.29,111.11,111.142,5000,2
1522803600,111.142,111.195,111.088,111.103,1174,6
1522807200,111.104,111.131,111.035,111.053,1617,4
1522810800,111.053,111.184,111.014,111.158,6274,0
1522814400,111.157,111.204,111.073,111.159,5518,0
1522818000,111.159,111.202,111.13,111.147,3683,3
1522821600,111.149,111.195,111.127,111.186,3155,0
1522825200,111.187,111.251,111.179,111.227,2470,0
1522828800,111.227,111.252,111.18,111.221,3865,0
1522832400,111.222,111.251,111.178,111.233,4928,0
1522836000,111.232,111.232,110.888,110.988,11793,0
1522839600,110.986,110.991,110.809,110.833,15930,0
1522843200,110.832,110.889,110.737,110.742,7996,0
1522846800,110.743,110.782,110.609,110.729,9062,0
1522850400,110.728,110.829,110.718,110.775,7142,0
1522854000,110.777,110.924,110.652,110.854,10575,0
1522857600,110.854,110.899,110.759,110.813,13470,0
1522861200,110.802,111.071,110.793,111.04,17305,0
1522864800,111.039,111.123,110.956,111.042,11038,0
1522868400,111.043,111.148,111.026,111.104,6926,0
1522872000,111.106,111.106,110.952,111.008,5949,0
1522875600,111.009,111.152,110.978,111.115,7944,0
1522879200,111.114,111.223,111.07,111.215,6478,0
1522882800,111.215,111.217,111.098,111.122,2251,0
1522886400,111.114,111.164,111.077,111.114,2815,5
1522890000,111.111,111.201,111.099,111.196,1805,1
1522893600,111.197,111.233,111.165,111.215,2398,2
1522897200,111.214,111.277,111.15,111.27,6886,0
1522900800,111.269,111.295,111.193,111.279,5620,0
1522904400,111.278,111.301,111.223,111.298,3673,1
1522908000,111.298,111.308,111.242,111.263,4611,1
1522911600,111.263,111.317,111.202,111.217,5344,0
1522915200,111.219,111.245,111.128,111.176,4163,1
1522918800,111.175,111.318,111.133,111.312,7168,0
1522922400,111.31,111.445,111.21,111.304,8320,0
1522926000,111.305,111.454,111.245,111.43,5888,0
1522929600,111.43,111.506,111.395,111.468,5727,0
1522933200,111.469,111.484,111.339,111.408,4945,0
1522936800,111.41,111.426,111.194,111.21,5002,0
1522940400,111.21,111.291,111.134,111.219,8359,0
1522944000,111.218,111.325,111.211,111.32,8806,0
1522947600,111.318,111.586,111.295,111.55,12860,0
1522951200,111.552,111.624,111.443,111.565,8070,0
1522954800,111.567,111.619,111.517,111.578,6236,0
1522958400,111.579,111.637,111.409,111.453,6922,0
1522962000,111.453,111.527,111.446,111.511,5521,0
1522965600,111.511,111.517,111.429,111.488,3520,0
1522969200,111.487,111.506,111.426,111.454,2150,0
1522972800,111.419,111.511,111.379,111.489,3644,9
1522976400,111.486,111.516,111.276,111.296,3285,0
1522980000,111.297,111.329,111.216,111.295,8263,2
1522983600,111.293,111.395,111.267,111.365,8548,0
1522987200,111.366,111.392,111.259,111.385,8604,0
1522990800,111.387,111.48,111.371,111.442,4803,1
1522994400,111.442,111.467,111.375,111.39,4557,1
1522998000,111.39,111.544,111.377,111.481,6687,1
1523001600,111.48,111.541,111.437,111.457,6241,0
1523005200,111.458,111.526,111.389,111.512,7484,0
1523008800,111.514,111.541,111.399,111.477,7708,0
1523012400,111.476,111.531,111.421,111.504,5991,0
1523016000,111.505,111.597,111.466,111.466,4710,0
1523019600,111.469,111.542,111.446,111.462,4060,0
1523023200,111.462,111.477,111.308,111.314,4909,0
1523026800,111.313,111.359,111.222,111.347,16433,0
1523030400,111.347,111.805,111.309,111.682,17897,0
1523034000,111.684,111.708,111.455,111.486,14492,0
1523037600,111.486,111.506,111.366,111.469,13931,0
1523041200,111.469,111.577,111.423,111.518,9337,0
1523044800,111.513,111.524,111.357,111.409,11257,0
1523048400,111.41,111.551,111.4,111.448,9336,0
1523052000,111.448,111.51,111.402,111.478,9747,0
1523055600,111.475,111.531,111.451,111.485,2096,1
1523232000,111.559,111.559,111.428,111.459,795,0
1523235600,111.475,111.576,111.426,111.426,2095,8
1523239200,111.426,111.512,111.368,111.483,3201,1
1523242800,111.485,111.528,111.368,111.407,5580,0
1523246400,111.407,111.448,111.341,111.401,5508,1
1523250000,111.401,111.427,111.335,111.419,2617,2
1523253600,111.421,111.54,111.399,111.501,3891,1
1523257200,111.503,111.52,111.463,111.503,2216,0
1523260800,111.505,111.529,111.462,111.495,3202,1
1523264400,111.496,111.6,111.476,111.581,6631,0
1523268000,111.581,111.667,111.418,111.641,10418,0
1523271600,111.641,111.676,111.565,111.604,5173,0
1523275200,111.604,111.65,111.562,111.567,4436,0
1523278800,111.567,111.6,111.499,111.515,5252,0
1523282400,111.515,111.608,111.473,111.602,5045,0
1523286000,111.603,111.701,111.585,111.694,7867,0
1523289600,111.695,111.891,111.674,111.839,8673,0
1523293200,111.839,111.952,111.735,111.767,10310,0
1523296800,111.766,111.902,111.733,111.821,6952,0
1523300400,111.819,111.852,111.686,111.704,6314,0
1523304000,111.706,111.763,111.694,111.724,4556,0
1523307600,111.726,111.73,111.627,111.634,5711,0
1523311200,111.638,111.653,111.501,111.545,7318,0
1523314800,111.542,111.648,111.506,111.631,2032,0
1523318400,111.635,111.69,111.564,111.662,2372,5
1523322000,111.659,111.682,111.61,111.623,2723,1
1523325600,111.623,111.648,111.602,111.635,2374,2
1523329200,111.634,111.658,111.537,111.607,4163,0
1523332800,111.609,111.787,111.595,111.761,5994,2
1523336400,111.761,112.011,111.695,111.998,12320,0
1523340000,111.999,112.012,111.874,111.924,5383,0
1523343600,111.923,111.976,111.899,111.971,3489,0
1523347200,111.969,111.971,111.906,111.92,3606,0
1523350800,111.919,111.973,111.88,111.943,5832,0
1523354400,111.942,112.048,111.852,111.95,10016,0
1523358000,111.948,112.066,111.901,111.959,7871,0
1523361600,111.957,112.001,111.891,111.915,4390,0
1523365200,111.915,112.007,111.898,111.952,3586,0
1523368800,111.954,112.282,111.938,112.18,9730,0
1523372400,112.18,112.189,112.076,112.11,7492,0
1523376000,112.107,112.196,112.06,112.072,10260,0
1523379600,112.072,112.122,111.962,112.084,11253,0
1523383200,112.084,112.264,112.048,112.063,13334,0
1523386800,112.062,112.09,111.982,112.033,9620,0
1523390400,112.033,112.165,112.014,112.121,7799,0
1523394000,112.121,112.192,111.987,112.011,9626,0
1523397600,112.014,112.03,111.938,111.947,8341,0
1523401200,111.947,112.023,111.931,112.01,1659,1
1523404800,112.003,112.065,111.965,111.968,3471,24
1523408400,111.971,112.058,111.966,112.041,2101,15
1523412000,112.041,112.083,111.98,112.004,3633,4
1523415600,112.003,112.021,111.863,111.969,5784,0
1523419200,111.971,112.003,111.906,111.909,4498,3
1523422800,111.911,111.976,111.891,111.954,2574,2
1523426400,111.953,111.967,111.885,111.921,2581,0
1523430000,111.922,111.946,111.883,111.898,2169,0
1523433600,111.898,112.018,111.896,111.953,2680,0
1523437200,111.951,112.04,111.894,111.918,4873,0
1523440800,111.919,111.982,111.546,111.603,8605,0
1523444400,111.604,111.63,111.463,111.623,6769,0
1523448000,111.624,111.711,111.59,111.68,4484,0
1523451600,111.679,111.715,111.521,111.612,4785,0
1523455200,111.609,111.627,111.485,111.52,8586,0
1523458800,111.519,111.587,111.419,111.532,9921,0
1523462400,111.532,111.66,111.496,111.577,9328,0
1523466000,111.577,111.706,111.488,111.494,11685,0
1523469600,111.496,111.532,111.411,111.477,11195,0
1523473200,111.478,111.614,111.474,111.523,7825,0
1523476800,111.521,111.601,111.515,111.516,6455,0
1523480400,111.518,111.603,111.5,111.582,9555,0
1523484000,111.58,111.601,111.479,111.519,6561,0
1523487600,111.521,111.544,111.488,111.5,1713,1
1523491200,111.489,111.564,111.276,111.468,3612,19
1523494800,111.479,111.549,111.478,111.533,1357,19
1523498400,111.531,111.594,111.525,111.576,1546,6
1523502000,111.578,111.617,111.475,111.579,4698,0
1523505600,111.579,111.616,111.529,111.557,3816,3
1523509200,111.554,111.611,111.535,111.538,3595,0
1523512800,111.539,111.563,111.472,111.529,2483,0
1523516400,111.527,111.547,111.465,111.489,2319,3
1523520000,111.489,111.527,111.382,111.441,3473,0
1523523600,111.442,111.482,111.335,111.435,6191,0
1523527200,111.432,111.48,111.33,111.375,8047,0
1523530800,111.375,111.424,111.148,111.162,6597,0
1523534400,111.159,111.226,111.062,111.101,7966,0
1523538000,111.101,111.351,111.061,111.306,7327,0
1523541600,111.306,111.353,111.197,111.239,8791,0
1523545200,111.239,111.324,111.146,111.292,8797,0
1523548800,111.292,111.475,111.258,111.401,11774,0
1523552400,111.399,111.535,111.33,111.473,12864,0
1523556000,111.471,111.517,111.406,111.484,10513,0
1523559600,111.483,111.5,111.427,111.472,6251,0
1523563200,111.473,111.501,111.377,111.471,10656,0
1523566800,111.468,111.492,111.401,111.428,6583,0
1523570400,111.427,111.439,111.359,111.389,5338,0
1523574000,111.392,111.548,111.387,111.534,2268,0
1523577600,111.459,111.532,111.403,111.433,1763,40
1523581200,111.433,111.479,111.422,111.451,1649,12
1523584800,111.454,111.462,111.41,111.444,1165,8
1523588400,111.443,111.523,111.443,111.483,4460,0
1523592000,111.481,111.621,111.465,111.527,4261,0
1523595600,111.528,111.552,111.476,111.541,3006,0
1523599200,111.542,111.576,111.508,111.509,2292,0
1523602800,111.511,111.531,111.473,111.523,1870,2
1523606400,111.525,111.629,111.512,111.604,2768,0
1523610000,111.608,111.722,111.592,111.652,9469,0
1523613600,111.654,112.082,111.626,112.078,9809,0
1523617200,112.077,112.115,111.86,111.914,7225,0
1523620800,111.914,111.926,111.851,111.885,4617,0
1523624400,111.885,111.954,111.867,111.872,4910,2
1523628000,111.872,111.925,111.816,111.825,6428,0
1523631600,111.825,111.93,111.793,111.844,4689,0
1523635200,111.844,111.927,111.801,111.836,6985,0
1523638800,111.835,111.865,111.722,111.736,11892,0
1523642400,111.737,111.748,111.592,111.643,9159,0
1523646000,111.643,111.675,111.558,111.67,7729,0
1523649600,111.669,111.69,111.593,111.67,4883,0
1523653200,111.673,111.709,111.635,111.641,4521,0
1523656800,111.639,111.65,111.533,111.585,8364,0
1523660400,111.583,111.628,111.554,111.576,1837,0
1523836800,111.581,111.72,111.531,111.589,1787,95
1523840400,111.619,111.707,111.59,111.6,4295,0
1523844000,111.601,111.651,111.59,111.632,2105,0
1523847600,111.632,111.658,111.557,111.634,4634,0
1523851200,111.636,111.642,111.512,111.546,3276,2
1523854800,111.547,111.558,111.372,111.401,3167,1
1523858400,111.4,111.471,111.363,111.447,3361,0
1523862000,111.449,111.449,111.344,111.357,2523,0
1523865600,111.357,111.359,111.244,111.279,3125,0
1523869200,111.279,111.44,111.262,111.296,6432,0
1523872800,111.293,111.594,111.285,111.587,8680,0
1523876400,111.587,111.639,111.565,111.607,5730,0
1523880000,111.607,111.716,111.587,111.649,5066,0
1523883600,111.651,111.724,111.625,111.661,4427,0
1523887200,111.66,111.796,111.62,111.786,3775,1
1523890800,111.786,111.858,111.728,111.846,6364,0
1523894400,111.846,111.941,111.824,111.893,7931,0
1523898000,111.893,111.944,111.728,111.734,8177,0
1523901600,111.735,111.78,111.704,111.776,5844,0
1523905200,111.775,111.804,111.679,111.7,5894,0
1523908800,111.7,111.723,111.55,111.566,4196,0
1523912400,111.565,111.575,111.532,111.569,4712,0
1523916000,111.57,111.609,111.56,111.579,3576,0
1523919600,111.58,111.627,111.566,111.587,2131,0
1523923200,111.562,111.626,111.544,111.612,1229,11
1523926800,111.611,111.628,111.584,111.6,2097,1
1523930400,111.6,111.64,111.552,111.565,2141,1
1523934000,111.566,111.616,111.505,111.542,3786,0
1523937600,111.542,111.545,111.415,111.451,3679,1
1523941200,111.45,111.535,111.444,111.477,3425,1
1523944800,111.477,111.506,111.458,111.467,2522,3
1523948400,111.469,111.489,111.424,111.447,2587,4
1523952000,111.446,111.467,111.401,111.45,3007,3
1523955600,111.451,111.506,111.421,111.474,5629,0
1523959200,111.474,111.621,111.449,111.498,7022,0
1523962800,111.497,111.497,111.264,111.266,4915,0
1523966400,111.264,111.329,111.199,111.279,5428,0
1523970000,111.279,111.346,111.202,111.326,3897,0
1523973600,111.329,111.358,111.237,111.254,4131,0
1523977200,111.254,111.256,111.081,111.094,6569,0
1523980800,111.098,111.136,110.984,111.014,7955,0
1523984400,111.014,111.044,110.872,110.95,9301,0
1523988000,110.951,110.971,110.738,110.779,7351,0
1523991600,110.779,110.785,110.624,110.654,6267,0
1523995200,110.654,110.745,110.594,110.72,5346,0
1523998800,110.72,110.775,110.707,110.761,3803,0
1524002400,110.76,110.833,110.743,110.791,3682,0
1524006000,110.791,110.859,110.737,110.738,2143,0
1524009600,110.694,110.763,110.689,110.739,3672,0
1524013200,110.739,110.759,110.677,110.688,1884,0
1524016800,110.69,110.75,110.669,110.71,1848,0
1524020400,110.708,110.84,110.691,110.799,5565,0
1524024000,110.799,110.947,110.772,110.916,5535,0
1524027600,110.917,110.953,110.854,110.912,3287,2
1524031200,110.913,110.994,110.894,110.986,3514,0
1524034800,110.987,111.007,110.938,110.975,2523,2
1524038400,110.975,110.999,110.929,110.947,3730,4
1524042000,110.946,110.994,110.835,110.842,7078,0
1524045600,110.845,110.865,110.694,110.802,8260,0
1524049200,110.802,110.857,110.702,110.736,7867,0
1524052800,110.736,110.857,110.658,110.764,7118,0
1524056400,110.763,110.793,110.706,110.738,4054,0
