time,open,high,low,close,tick_volume,spread
1683504000,151.304,151.38,151.241,151.295,256,300
1683505800,151.295,151.38,151.252,151.318,554,149
1683507600,151.289,151.546,151.289,151.538,559,17
1683509400,151.538,151.601,151.509,151.58,783,9
1683511200,151.58,151.765,151.537,151.739,739,9
1683513000,151.736,151.836,151.68,151.686,610,7
1683514800,151.686,151.704,151.584,151.65,1280,5
1683516600,151.65,151.726,151.505,151.517,1109,7
1683518400,151.517,151.587,151.457,151.569,940,9
1683520200,151.569,151.663,151.493,151.531,967,8
1683522000,151.531,151.538,151.418,151.497,882,3
1683523800,151.497,151.597,151.49,151.581,1167,2
1683525600,151.582,151.654,151.572,151.63,726,6
1683527400,151.63,151.723,151.618,151.721,552,5
1683529200,151.721,151.721,151.623,151.675,894,6
1683531000,151.676,151.68,151.548,151.579,894,9
1683532800,151.579,151.598,151.543,151.57,501,8
1683534600,151.57,151.58,151.451,151.452,841,8
1683536400,151.448,151.623,151.414,151.6,1283,3
1683538200,151.6,151.933,151.595,151.86,968,1
1683540000,151.862,152.057,151.857,151.988,1498,2
1683541800,151.988,152.18,151.98,152.18,1547,1
1683543600,152.184,152.247,152.086,152.105,1478,2
1683545400,152.105,152.136,151.9,151.902,1400,1
1683547200,151.9,151.913,151.737,151.816,1585,2
1683549000,151.816,151.924,151.768,151.853,1025,1
1683550800,151.853,151.958,151.841,151.931,998,1
1683552600,151.931,152.041,151.909,151.962,1197,2
1683554400,151.962,151.965,151.882,151.888,1081,1
1683556200,151.889,152.022,151.859,152.015,1654,3
1683558000,152.016,152.079,151.948,152.0,1668,2
1683559800,151.999,152.012,151.822,151.903,1320,1
1683561600,151.903,151.959,151.806,151.862,1739,1
1683563400,151.865,151.921,151.673,151.846,2475,1
1683565200,151.852,151.932,151.703,151.706,2107,1
1683567000,151.706,151.77,151.472,151.568,1968,1
1683568800,151.568,151.62,151.504,151.588,1574,1
1683570600,151.586,151.651,151.553,151.585,1369,1
1683572400,151.585,151.642,151.544,151.637,1023,1
1683574200,151.637,151.668,151.557,151.659,976,4
1683576000,151.662,151.71,151.646,151.687,781,3
1683577800,151.688,151.772,151.685,151.746,819,5
1683579600,151.746,151.91,151.689,151.902,1619,1
1683581400,151.906,151.945,151.864,151.918,1022,1
1683583200,151.918,151.923,151.839,151.884,749,1
1683585000,151.878,151.901,151.815,151.824,930,3
1683586800,151.827,151.865,151.792,151.843,1136,5
1683588600,151.843,151.897,151.824,151.896,640,9
1683590400,151.761,151.783,151.615,151.783,170,45
1683592200,151.783,151.809,151.701,151.715,675,39
1683594000,151.709,151.865,151.709,151.802,885,14
1683595800,151.799,151.805,151.7,151.739,747,13
1683597600,151.739,151.796,151.696,151.755,602,13
1683599400,151.752,151.824,151.74,151.782,366,12
1683601200,151.782,151.916,151.776,151.901,1437,6
1683603000,151.901,151.931,151.805,151.825,1234,6
1683604800,151.825,151.862,151.765,151.806,1027,7
1683606600,151.806,151.811,151.552,151.653,1234,7
1683608400,151.653,151.735,151.631,151.712,796,6
1683610200,151.714,151.754,151.697,151.71,655,3
1683612000,151.71,151.72,151.652,151.682,605,5
1683613800,151.682,151.731,151.63,151.682,638,8
1683615600,151.684,151.774,151.622,151.751,745,9
1683617400,151.752,151.774,151.705,151.741,831,8
1683619200,151.74,151.783,151.672,151.672,1004,7
1683621000,151.672,151.752,151.606,151.652,1208,3
1683622800,151.661,151.704,151.557,151.579,1522,4
1683624600,151.584,151.625,151.433,151.537,1436,3
1683626400,151.538,151.665,151.372,151.398,2283,1
1683628200,151.398,151.403,151.014,151.059,2095,1
1683630000,151.058,151.298,151.032,151.28,1700,1
1683631800,151.28,151.363,151.111,151.36,1708,1
1683633600,151.36,151.501,151.351,151.417,1485,1
1683635400,151.418,151.424,151.304,151.326,1367,1
1683637200,151.329,151.341,151.197,151.225,1080,4
1683639000,151.225,151.251,151.124,151.124,1118,1
1683640800,151.124,151.21,151.066,151.165,1259,3
1683642600,151.163,151.166,151.029,151.082,1565,1
1683644400,151.081,151.294,151.074,151.278,1615,1
1683646200,151.283,151.399,151.209,151.274,1742,1
1683648000,151.275,151.364,151.23,151.298,2062,1
1683649800,151.299,151.399,151.262,151.288,1829,1
1683651600,151.29,151.482,151.219,151.436,1801,1
1683653400,151.443,151.538,151.367,151.518,2094,1
1683655200,151.521,151.582,151.47,151.535,1709,1
1683657000,151.535,151.643,151.505,151.562,1253,2
1683658800,151.563,151.738,151.55,151.664,1162,2
1683660600,151.664,151.734,151.659,151.713,1018,4
1683662400,151.71,151.735,151.633,151.693,1090,1
1683664200,151.695,151.804,151.665,151.798,833,1
1683666000,151.798,151.875,151.78,151.852,977,4
1683667800,151.852,151.913,151.812,151.877,799,2
1683669600,151.877,151.935,151.845,151.889,769,2
1683671400,151.889,151.908,151.831,151.862,707,5
1683673200,151.854,151.875,151.797,151.813,1132,8
1683675000,151.813,151.864,151.789,151.858,820,10
1683676800,151.739,151.818,151.549,151.77,252,107
1683678600,151.77,151.814,151.718,151.742,394,93
1683680400,151.725,151.869,151.715,151.855,1350,9
1683682200,151.854,151.892,151.837,151.878,1199,11
1683684000,151.876,151.953,151.874,151.902,407,13
1683685800,151.9,152.016,151.9,151.974,490,7
1683687600,151.972,152.041,151.933,152.003,838,4
1683689400,152.01,152.022,151.814,151.847,1104,7
1683691200,151.847,151.896,151.789,151.865,903,9
1683693000,151.865,151.92,151.86,151.903,712,6
1683694800,151.902,151.907,151.846,151.884,624,4
1683696600,151.883,151.921,151.849,151.886,641,7
1683698400,151.886,151.914,151.866,151.912,491,7
1683700200,151.913,151.921,151.877,151.898,699,10
1683702000,151.898,151.994,151.876,151.979,778,8
1683703800,151.979,152.037,151.943,151.954,600,9
1683705600,151.955,152.047,151.916,152.011,771,6
1683707400,152.013,152.013,151.941,151.997,920,9
1683709200,151.991,152.138,151.991,152.121,1369,1
1683711000,152.121,152.184,152.1,152.122,1180,1
1683712800,152.121,152.349,152.12,152.255,1742,1
1683714600,152.255,152.284,151.967,152.002,2099,2
1683716400,152.002,152.002,151.792,151.856,2408,1
1683718200,151.856,151.946,151.8,151.862,1549,2
1683720000,151.86,151.912,151.809,151.846,1123,3
1683721800,151.847,151.864,151.731,151.821,1108,1
1683723600,151.821,151.83,151.711,151.715,1260,5
1683725400,151.715,151.776,151.66,151.687,905,4
1683727200,151.69,151.761,151.658,151.755,1234,4
1683729000,151.755,151.767,151.682,151.703,1208,5
1683730800,151.701,151.737,151.542,151.568,1988,1
1683732600,151.394,151.642,151.157,151.479,4997,1
1683734400,151.477,151.658,151.375,151.556,3354,1
1683736200,151.568,151.607,151.124,151.324,3826,2
1683738000,151.324,151.526,151.258,151.264,3514,1
1683739800,151.263,151.311,151.094,151.202,3269,4
1683741600,151.2,151.26,151.08,151.116,2374,2
1683743400,151.121,151.129,150.952,150.961,1571,1
1683745200,150.96,150.974,150.831,150.914,1171,4
1683747000,150.914,150.939,150.788,150.818,952,3
1683748800,150.815,150.841,150.654,150.704,1505,7
1683750600,150.703,150.848,150.605,150.813,1509,3
1683752400,150.816,150.947,150.798,150.913,1047,4
1683754200,150.917,150.999,150.885,150.915,1120,5
1683756000,150.921,151.103,150.918,151.057,995,7
1683757800,151.057,151.114,151.046,151.073,888,6
1683759600,151.071,151.072,151.001,151.006,570,8
1683761400,151.005,151.052,150.989,150.989,547,9
1683763200,150.905,151.042,150.779,150.844,382,130
1683765000,150.844,150.922,150.809,150.884,298,160
1683766800,150.88,151.077,150.88,150.997,620,3
1683768600,150.997,150.998,150.906,150.909,459,4
1683770400,150.909,150.909,150.722,150.818,633,12
1683772200,150.818,150.819,150.738,150.773,507,6
1683774000,150.771,150.806,150.621,150.67,1364,5
1683775800,150.668,150.873,150.668,150.807,1251,7
1683777600,150.803,150.908,150.745,150.86,1145,9
1683779400,150.86,150.864,150.698,150.725,1082,5
1683781200,150.725,150.772,150.662,150.691,938,5
1683783000,150.69,150.79,150.677,150.787,869,7
1683784800,150.785,150.785,150.656,150.678,574,6
1683786600,150.678,150.685,150.623,150.637,623,1
1683788400,150.637,150.692,150.6,150.692,770,8
1683790200,150.697,150.809,150.697,150.75,803,5
1683792000,150.75,150.779,150.676,150.722,684,7
1683793800,150.722,150.823,150.721,150.803,874,6
1683795600,150.807,150.807,150.682,150.687,1251,5
1683797400,150.687,150.693,150.309,150.358,2134,1
1683799200,150.357,150.597,150.352,150.44,2778,1
1683801000,150.44,150.66,150.438,150.571,2225,3
1683802800,150.573,150.702,150.436,150.691,2442,1
1683804600,150.688,150.739,150.605,150.652,1669,1
1683806400,150.655,150.792,150.645,150.733,1798,1
1683808200,150.733,150.771,150.621,150.645,1362,2
1683810000,150.644,150.651,150.45,150.547,1464,1
1683811800,150.547,150.584,150.424,150.452,1398,1
1683813600,150.452,150.533,150.191,150.297,2890,1
1683815400,150.298,150.365,150.072,150.216,2335,1
1683817200,150.213,150.616,150.103,150.295,2843,1
1683819000,150.298,150.309,149.902,150.054,3969,1
1683820800,150.054,150.079,149.895,150.048,2751,1
1683822600,150.048,150.053,149.814,150.016,2630,1
1683824400,150.016,150.154,149.934,150.133,2944,1
1683826200,150.135,150.374,150.102,150.3,3121,1
1683828000,150.302,150.369,150.152,150.19,1921,1
1683829800,150.189,150.202,150.058,150.174,1447,1
1683831600,150.172,150.23,150.118,150.194,1331,1
1683833400,150.191,150.4,150.185,150.337,1166,1
1683835200,150.337,150.34,150.259,150.272,1198,1
1683837000,150.271,150.306,150.185,150.304,1118,4
1683838800,150.304,150.371,150.263,150.366,813,1
1683840600,150.365,150.455,150.353,150.395,820,4
1683842400,150.393,150.487,150.372,150.483,668,4
1683844200,150.481,150.517,150.448,150.47,650,3
1683846000,150.472,150.52,150.442,150.501,1192,1
1683847800,150.501,150.527,150.458,150.464,535,5
1683849600,150.272,150.349,150.133,150.286,444,129
1683851400,150.29,150.369,150.268,150.334,786,183
1683853200,150.343,150.511,150.343,150.477,825,14
1683855000,150.477,150.499,150.425,150.448,906,13
1683856800,150.448,150.456,150.375,150.431,385,14
1683858600,150.441,150.45,150.386,150.39,346,12
1683860400,150.381,150.483,150.368,150.384,954,8
1683862200,150.386,150.557,150.369,150.547,1068,7
1683864000,150.547,150.625,150.504,150.547,1052,8
1683865800,150.547,150.64,150.514,150.64,899,6
1683867600,150.629,150.829,150.628,150.78,864,7
1683869400,150.779,150.862,150.756,150.825,713,7
1683871200,150.825,150.853,150.739,150.755,535,2
1683873000,150.755,150.777,150.67,150.702,617,1
1683874800,150.702,150.739,150.664,150.713,562,3
1683876600,150.713,150.746,150.679,150.741,424,5
1683878400,150.738,150.844,150.738,150.843,588,4
1683880200,150.842,150.99,150.84,150.961,724,6
1683882000,150.966,151.047,150.895,150.992,1450,1
1683883800,150.992,151.185,150.973,151.114,1400,1
1683885600,151.102,151.538,151.09,151.389,1937,1
1683887400,151.389,151.447,151.109,151.118,2090,3
1683889200,151.121,151.154,150.958,151.094,1839,1
1683891000,151.093,151.185,151.065,151.113,1337,2
1683892800,151.113,151.163,150.819,150.859,1265,2
1683894600,150.859,150.915,150.721,150.89,1197,1
1683896400,150.89,150.935,150.841,150.894,1017,2
1683898200,150.894,150.919,150.73,150.73,971,5
1683900000,150.73,150.869,150.686,150.739,1124,1
1683901800,150.739,150.887,150.684,150.83,1057,4
1683903600,150.831,150.952,150.825,150.85,1735,1
1683905400,150.85,151.099,150.783,151.081,1324,1
1683907200,151.081,151.101,150.66,150.674,1887,1
1683909000,150.669,150.709,150.405,150.479,2446,1
1683910800,150.476,150.937,150.476,150.902,2445,1
1683912600,150.904,150.975,150.789,150.848,2844,1
1683914400,150.849,150.944,150.817,150.869,2111,1
1683916200,150.869,151.213,150.858,151.171,1787,1
1683918000,151.174,151.184,151.024,151.029,1441,1
1683919800,151.029,151.101,151.022,151.047,1228,1
1683921600,151.05,151.206,151.03,151.196,1158,4
1683923400,151.196,151.221,151.096,151.107,892,3
1683925200,151.102,151.141,151.083,151.117,872,4
1683927000,151.114,151.145,151.081,151.114,754,1
1683928800,151.114,151.132,151.057,151.072,746,5
1683930600,151.072,151.096,151.022,151.04,646,3
1683932400,151.04,151.046,150.968,151.003,642,2
1683934200,150.985,151.107,150.985,151.037,580,2
1684108800,151.018,151.134,150.996,151.07,181,299
1684110600,151.068,151.092,150.885,150.967,398,281
1684112400,150.964,151.22,150.943,151.162,707,25
1684114200,151.162,151.19,151.115,151.116,580,15
1684116000,151.118,151.155,151.096,151.122,1095,9
1684117800,151.124,151.226,151.122,151.177,825,6
1684119600,151.178,151.334,151.11,151.324,1111,5
1684121400,151.325,151.366,151.206,151.23,1504,6
1684123200,151.23,151.281,151.16,151.251,1416,7
1684125000,151.251,151.393,151.21,151.375,860,3
1684126800,151.375,151.455,151.337,151.455,620,1
1684128600,151.455,151.478,151.42,151.439,602,1
1684130400,151.439,151.515,151.433,151.497,491,1
1684132200,151.497,151.661,151.469,151.638,776,2
1684134000,151.638,151.719,151.612,151.648,844,6
1684135800,151.648,151.652,151.547,151.58,558,5
1684137600,151.58,151.733,151.56,151.725,712,3
1684139400,151.727,151.779,151.693,151.766,950,3
1684141200,151.759,151.841,151.64,151.664,1446,6
1684143000,151.664,151.688,151.604,151.674,1270,2
1684144800,151.672,151.736,151.451,151.496,1820,1
1684146600,151.496,151.674,151.496,151.617,1842,2
1684148400,151.619,151.764,151.609,151.75,1849,1
1684150200,151.75,151.855,151.71,151.723,1420,1
1684152000,151.722,151.922,151.644,151.9,1379,1
1684153800,151.9,151.982,151.826,151.826,1169,3
1684155600,151.824,151.92,151.816,151.864,1203,1
1684157400,151.864,151.934,151.857,151.88,1112,1
1684159200,151.881,151.946,151.808,151.811,925,1
1684161000,151.809,151.957,151.781,151.93,1225,1
1684162800,151.922,152.032,151.921,151.968,1703,2
1684164600,151.907,151.919,151.518,151.637,3021,2
1684166400,151.637,151.995,151.628,151.967,2080,2
1684168200,151.967,151.978,151.831,151.93,2459,1
1684170000,151.93,152.153,151.93,152.111,2513,3
1684171800,152.104,152.195,152.012,152.022,2062,1
1684173600,152.022,152.044,151.946,152.041,1255,1
1684175400,152.041,152.056,151.97,152.047,1163,5
1684177200,152.048,152.098,151.971,152.075,825,7
1684179000,152.075,152.183,152.033,152.166,780,1
1684180800,152.169,152.171,152.1,152.117,813,6
1684182600,152.118,152.154,152.06,152.1,914,1
1684184400,152.1,152.118,151.973,151.99,699,4
1684186200,151.99,152.055,151.988,152.049,752,3
1684188000,152.048,152.052,151.99,151.995,534,2
1684189800,151.997,152.009,151.971,151.997,606,1
