time,open,high,low,close,tick_volume,spread,real_volume,t
1462147200,8.67,10.37,8.67,9.89,23050,0,0,2016-05-02 00:00:00+00:00
1462233600,9.87,10.17,9.29,9.31,20164,0,0,2016-05-03 00:00:00+00:00
1462320000,9.31,9.86,9.2,9.43,16475,0,0,2016-05-04 00:00:00+00:00
1462406400,9.43,9.89,9.28,9.7,14271,0,0,2016-05-05 00:00:00+00:00
1462492800,9.7,9.89,8.97,9.08,15926,0,0,2016-05-06 00:00:00+00:00
1462752000,9.32,9.47,9.1,9.1,15168,0,0,2016-05-09 00:00:00+00:00
1462838400,9.1,9.37,9.1,9.3,7490,0,0,2016-05-10 00:00:00+00:00
1462924800,9.3,9.9,9.28,9.82,7317,0,0,2016-05-11 00:00:00+00:00
1463011200,9.82,10.52,9.67,10.15,18024,0,0,2016-05-12 00:00:00+00:00
1463097600,10.15,11.12,9.84,10.25,17551,0,0,2016-05-13 00:00:00+00:00
1463356800,9.9,11.39,9.87,11.25,14062,0,0,2016-05-16 00:00:00+00:00
1463443200,11.2,12.59,11.0,11.91,15789,0,0,2016-05-17 00:00:00+00:00
1463529600,11.91,14.31,11.91,12.8,18178,0,0,2016-05-18 00:00:00+00:00
1463616000,12.8,14.49,12.7,14.25,18265,0,0,2016-05-19 00:00:00+00:00
1463702400,14.25,15.0,13.45,13.91,16281,0,0,2016-05-20 00:00:00+00:00
1463961600,14.27,14.44,13.68,13.92,10024,0,0,2016-05-23 00:00:00+00:00
1464048000,13.92,13.92,12.01,12.7,16454,0,0,2016-05-24 00:00:00+00:00
1464134400,12.7,12.88,11.85,12.35,9976,0,0,2016-05-25 00:00:00+00:00
1464220800,12.35,12.95,12.04,12.39,7518,0,0,2016-05-26 00:00:00+00:00
1464307200,12.39,12.6,10.3,11.0,20756,0,0,2016-05-27 00:00:00+00:00
1464566400,11.91,12.59,11.72,12.5,7389,0,0,2016-05-30 00:00:00+00:00
1464652800,12.5,13.92,12.42,13.68,6493,0,0,2016-05-31 00:00:00+00:00
1464739200,13.68,13.97,13.1,13.64,12529,0,0,2016-06-01 00:00:00+00:00
1464825600,13.62,13.71,13.34,13.57,4857,0,0,2016-06-02 00:00:00+00:00
1464912000,13.57,13.6,12.86,13.07,7221,0,0,2016-06-03 00:00:00+00:00
1465171200,13.51,13.7,13.4,13.63,4462,0,0,2016-06-06 00:00:00+00:00
1465257600,13.63,14.2,13.6,14.0,3876,0,0,2016-06-07 00:00:00+00:00
1465344000,14.0,14.65,14.0,14.16,4052,0,0,2016-06-08 00:00:00+00:00
1465430400,14.16,14.21,14.0,14.12,2529,0,0,2016-06-09 00:00:00+00:00
1465516800,14.12,14.15,13.5,13.57,7575,0,0,2016-06-10 00:00:00+00:00
1465776000,14.42,17.0,14.39,16.51,7733,0,0,2016-06-13 00:00:00+00:00
1465862400,16.51,18.89,16.4,18.01,8160,0,0,2016-06-14 00:00:00+00:00
1465948800,18.0,18.66,16.96,17.76,5059,0,0,2016-06-15 00:00:00+00:00
1466035200,17.76,19.64,17.43,19.57,6104,0,0,2016-06-16 00:00:00+00:00
1466121600,19.57,20.5,12.84,14.13,16147,0,0,2016-06-17 00:00:00+00:00
1466380800,11.57,12.1,10.16,11.39,15741,0,0,2016-06-20 00:00:00+00:00
