time,open,high,low,close,tick_volume,spread
1522702800,0.87581,0.87618,0.8758,0.87591,2673,0
1522706400,0.87588,0.87615,0.87564,0.87581,3094,0
1522710000,0.8758,0.876,0.87571,0.87589,1839,0
1522713600,0.8755,0.87602,0.87527,0.8756,2408,0
1522717200,0.87555,0.87567,0.87527,0.87552,1471,0
1522720800,0.87552,0.87554,0.87508,0.87513,1094,1
1522724400,0.87515,0.87553,0.87513,0.87549,1905,0
1522728000,0.8755,0.87556,0.87504,0.87546,2497,0
1522731600,0.87546,0.87555,0.87524,0.87551,1743,1
1522735200,0.87552,0.87561,0.87537,0.87546,1510,1
1522738800,0.87545,0.87558,0.87534,0.8754,1194,2
1522742400,0.8754,0.87584,0.8753,0.8755,1783,0
1522746000,0.87548,0.87603,0.8751,0.87566,5354,0
1522749600,0.87565,0.87632,0.8751,0.87516,6612,0
1522753200,0.87515,0.87567,0.8746,0.87473,6429,0
1522756800,0.87473,0.87498,0.8742,0.87479,5835,0
1522760400,0.87478,0.876,0.87453,0.87597,6032,0
1522764000,0.87596,0.87639,0.87524,0.87562,7351,0
1522767600,0.87563,0.8759,0.87412,0.8743,6539,0
1522771200,0.8743,0.87449,0.87267,0.87322,10164,0
1522774800,0.87323,0.87428,0.87284,0.87425,9056,0
1522778400,0.87425,0.87425,0.8713,0.87159,7529,0
1522782000,0.8716,0.87271,0.87144,0.87267,4177,0
1522785600,0.87267,0.87284,0.87214,0.87266,3367,0
1522789200,0.87266,0.87299,0.87256,0.87272,3770,0
1522792800,0.87272,0.87287,0.87244,0.87269,4829,0
1522796400,0.87269,0.87291,0.87254,0.87264,1614,0
1522800000,0.87267,0.87298,0.8724,0.87263,1874,0
1522803600,0.87262,0.87279,0.87247,0.87254,1220,0
1522807200,0.87256,0.8728,0.87247,0.87267,1127,1
1522810800,0.87268,0.87282,0.87188,0.87195,2250,0
1522814400,0.87195,0.87221,0.87174,0.87201,1901,1
1522818000,0.87202,0.87204,0.87149,0.87173,2962,0
1522821600,0.87172,0.8719,0.87151,0.87164,2155,0
1522825200,0.87166,0.87183,0.87158,0.87176,836,0
1522828800,0.87175,0.87212,0.87172,0.87207,2022,0
1522832400,0.87206,0.87237,0.87182,0.87194,4603,0
1522836000,0.87193,0.87339,0.87187,0.87295,8552,0
1522839600,0.87294,0.87431,0.8729,0.87312,9755,0
1522843200,0.87307,0.87452,0.87292,0.8738,6561,0
1522846800,0.87379,0.87516,0.87378,0.87514,6897,0
1522850400,0.87513,0.87545,0.87454,0.8752,6212,0
1522854000,0.87521,0.87588,0.874,0.87417,8537,0
1522857600,0.87417,0.87421,0.87322,0.87337,8431,0
1522861200,0.87339,0.87416,0.87274,0.87316,9615,0
1522864800,0.87317,0.87366,0.87303,0.87328,6521,0
1522868400,0.87328,0.87363,0.87297,0.87305,4008,0
1522872000,0.87305,0.87312,0.87259,0.87266,3243,0
1522875600,0.87266,0.87283,0.87214,0.87247,3712,0
1522879200,0.87247,0.8726,0.87179,0.87219,3291,0
1522882800,0.87219,0.87225,0.87192,0.87201,1200,1
1522886400,0.87206,0.87242,0.87183,0.87195,1378,0
1522890000,0.87195,0.87222,0.87182,0.87205,1377,2
1522893600,0.87204,0.87219,0.87191,0.87217,1014,3
1522897200,0.87217,0.87255,0.87162,0.87173,2719,0
1522900800,0.87173,0.87207,0.87172,0.87189,2108,1
1522904400,0.87189,0.87236,0.87182,0.8723,1691,0
1522908000,0.87229,0.87245,0.87214,0.87241,1725,0
1522911600,0.87242,0.87259,0.87232,0.87251,1244,3
1522915200,0.87251,0.87275,0.87232,0.87273,1524,0
1522918800,0.87272,0.87273,0.87177,0.87257,4613,0
1522922400,0.87256,0.87258,0.87157,0.87212,7386,0
1522926000,0.87209,0.87378,0.87194,0.87355,7472,0
1522929600,0.87354,0.87354,0.87277,0.87296,6058,0
1522933200,0.87296,0.87345,0.87282,0.87311,5806,0
1522936800,0.8731,0.87387,0.87237,0.8736,7439,0
1522940400,0.87361,0.8744,0.87354,0.87392,11297,0
1522944000,0.87392,0.87442,0.87373,0.87398,9020,0
1522947600,0.87398,0.87402,0.87281,0.87357,11242,0
1522951200,0.87358,0.87498,0.87337,0.87406,8952,0
1522954800,0.87405,0.87478,0.87382,0.87478,6259,0
1522958400,0.87478,0.87482,0.87408,0.87415,4537,0
1522962000,0.87416,0.8744,0.87389,0.87392,3464,0
1522965600,0.87393,0.87415,0.87371,0.87375,2215,0
1522969200,0.87375,0.87409,0.87366,0.87394,1470,0
1522972800,0.87401,0.87413,0.87379,0.874,1301,0
1522976400,0.874,0.87439,0.87389,0.87432,1852,2
1522980000,0.87432,0.87491,0.87417,0.87447,3076,2
1522983600,0.87448,0.8746,0.87428,0.87444,2673,0
1522987200,0.87445,0.87461,0.87422,0.87441,3016,1
1522990800,0.87442,0.87459,0.87433,0.87449,1581,1
1522994400,0.8745,0.8746,0.87425,0.87431,2307,1
1522998000,0.87431,0.87461,0.87421,0.8743,3138,1
1523001600,0.87431,0.875,0.87429,0.87454,3773,1
1523005200,0.87455,0.87465,0.87395,0.87425,7491,0
1523008800,0.87425,0.87426,0.87339,0.87344,7858,0
1523012400,0.87344,0.87381,0.87306,0.87359,6982,0
1523016000,0.8736,0.87397,0.87336,0.87368,5504,0
1523019600,0.87369,0.87378,0.87301,0.87333,4591,0
1523023200,0.87334,0.87405,0.8733,0.87345,4958,0
1523026800,0.87345,0.87345,0.87226,0.87266,14562,0
1523030400,0.87266,0.87352,0.87149,0.87169,16090,0
1523034000,0.87169,0.87192,0.87011,0.8707,12349,0
1523037600,0.87071,0.87135,0.87037,0.8712,8404,0
1523041200,0.8712,0.87155,0.87084,0.87153,5673,0
1523044800,0.87153,0.87183,0.87129,0.87182,5326,0
1523048400,0.87182,0.87221,0.87142,0.87219,5496,0
1523052000,0.8722,0.87243,0.87148,0.87189,5112,0
1523055600,0.87189,0.87193,0.8714,0.87157,1860,2
1523232000,0.87157,0.87175,0.87102,0.8713,586,14
1523235600,0.87135,0.8716,0.871,0.87103,1716,0
1523239200,0.87103,0.87119,0.87065,0.87083,2077,2
1523242800,0.87084,0.87097,0.87066,0.87076,3241,0
1523246400,0.87077,0.87092,0.87047,0.87068,3508,0
1523250000,0.87068,0.87085,0.87056,0.87066,2427,1
1523253600,0.87066,0.87085,0.87054,0.87063,2543,2
1523257200,0.87064,0.871,0.87061,0.871,1663,1
1523260800,0.87098,0.87146,0.87092,0.87128,2492,0
1523264400,0.87127,0.8714,0.86977,0.87079,8334,0
1523268000,0.8708,0.87108,0.86982,0.87025,10953,0
1523271600,0.87026,0.87088,0.8702,0.87024,6829,0
1523275200,0.87023,0.87074,0.87018,0.87043,5215,0
1523278800,0.87042,0.87125,0.86999,0.87019,6621,0
1523282400,0.87019,0.87056,0.86985,0.87003,5707,0
1523286000,0.87004,0.87123,0.86986,0.87053,7533,0
1523289600,0.87053,0.87122,0.86985,0.87119,7748,0
1523293200,0.87119,0.87185,0.87078,0.87144,8726,0
1523296800,0.87143,0.87197,0.8713,0.87151,6456,0
1523300400,0.87151,0.87188,0.87125,0.87147,5065,0
1523304000,0.87148,0.87168,0.87116,0.87164,4277,0
1523307600,0.87164,0.87182,0.87141,0.87179,4567,0
1523311200,0.8718,0.87224,0.87173,0.87211,4870,0
1523314800,0.87211,0.87211,0.87179,0.87183,1907,0
1523318400,0.87162,0.87216,0.87102,0.87209,1850,1
1523322000,0.87208,0.87218,0.8718,0.87188,1139,2
1523325600,0.87189,0.87206,0.87171,0.87171,890,3
1523329200,0.87172,0.8721,0.87172,0.87192,1960,1
1523332800,0.87193,0.87196,0.87162,0.87182,3560,0
1523336400,0.87181,0.87197,0.87142,0.87171,5394,0
1523340000,0.87172,0.87177,0.87115,0.87117,2840,2
1523343600,0.87117,0.87136,0.87103,0.87134,1348,0
1523347200,0.87131,0.87143,0.87081,0.87082,2327,1
1523350800,0.87081,0.87131,0.87047,0.8705,6687,0
1523354400,0.87052,0.87108,0.87044,0.87063,9928,0
1523358000,0.87065,0.87069,0.86973,0.86997,8079,0
1523361600,0.86998,0.87,0.86921,0.86964,5157,0
1523365200,0.86963,0.87052,0.86959,0.87049,4450,0
1523368800,0.87048,0.87278,0.87044,0.8721,12675,0
1523372400,0.8721,0.87234,0.87163,0.87193,7202,0
1523376000,0.87192,0.8726,0.87174,0.87208,7723,0
1523379600,0.87207,0.87217,0.87118,0.87132,7889,0
1523383200,0.87133,0.87207,0.87051,0.87125,10347,0
1523386800,0.87125,0.87236,0.87078,0.87235,7147,0
1523390400,0.87235,0.87241,0.87154,0.87154,6149,0
1523394000,0.87154,0.87174,0.87114,0.87147,5077,0
1523397600,0.87148,0.87176,0.87135,0.87142,3454,0
1523401200,0.87138,0.87165,0.87137,0.87152,1412,1
1523404800,0.87121,0.87169,0.87092,0.8714,1529,8
1523408400,0.8714,0.87171,0.87127,0.87159,1982,2
1523412000,0.8716,0.87186,0.87156,0.87173,1189,0
1523415600,0.87173,0.87192,0.87158,0.87167,2412,0
