time,open,high,low,close,tick_volume,spread
1682899200,0.87734,0.87734,0.87605,0.87657,161,86
1682901000,0.87657,0.87665,0.87608,0.87623,200,74
1682902800,0.87668,0.87688,0.87654,0.87667,502,1
1682904600,0.87667,0.87693,0.87657,0.87689,403,0
1682906400,0.87688,0.87688,0.87648,0.87652,570,0
1682908200,0.87652,0.87686,0.87649,0.87677,832,0
1682910000,0.87677,0.87691,0.87667,0.87686,847,0
1682911800,0.87687,0.87701,0.87625,0.87627,736,0
1682913600,0.87629,0.87634,0.87617,0.87628,558,1
1682915400,0.87628,0.87648,0.87615,0.87616,856,0
1682917200,0.87615,0.87625,0.87598,0.87612,590,0
1682919000,0.87612,0.87641,0.87608,0.87627,555,0
1682920800,0.87628,0.87645,0.87616,0.87644,1242,0
1682922600,0.87644,0.87654,0.87621,0.87625,874,0
1682924400,0.87626,0.87648,0.87626,0.87643,946,0
1682926200,0.87644,0.87656,0.87639,0.87644,413,0
1682928000,0.87643,0.87677,0.87641,0.87677,377,0
1682929800,0.87677,0.87686,0.87667,0.87671,543,0
1682931600,0.8767,0.87674,0.87644,0.87656,860,0
1682933400,0.87655,0.87685,0.87637,0.87643,1285,0
1682935200,0.87641,0.87711,0.87641,0.87703,1478,0
1682937000,0.87702,0.87775,0.87702,0.87775,1346,0
1682938800,0.87774,0.87787,0.87743,0.8776,1551,0
1682940600,0.87762,0.87815,0.87758,0.87804,1308,0
1682942400,0.87807,0.87845,0.87796,0.87828,947,0
1682944200,0.87828,0.87854,0.87816,0.87842,1088,0
1682946000,0.87841,0.87882,0.87825,0.87854,1117,0
1682947800,0.87854,0.87885,0.87831,0.87842,1133,0
1682949600,0.87843,0.8786,0.87824,0.87855,1027,0
1682951400,0.87856,0.87943,0.87851,0.87942,1076,0
1682953200,0.87942,0.87944,0.8783,0.87839,1400,0
1682955000,0.8784,0.87889,0.87836,0.8787,2049,0
1682956800,0.87869,0.87901,0.87845,0.87851,1575,0
1682958600,0.8785,0.87866,0.87825,0.87834,1367,0
1682960400,0.87834,0.87845,0.87772,0.87773,2635,0
1682962200,0.87773,0.87802,0.87702,0.8771,2020,0
1682964000,0.87709,0.87815,0.87689,0.87794,1920,0
1682965800,0.87794,0.87834,0.87786,0.878,1670,0
1682967600,0.87801,0.87858,0.87798,0.8783,1339,0
1682969400,0.87831,0.87831,0.87778,0.87788,1286,0
1682971200,0.87787,0.87821,0.87778,0.87804,1029,0
1682973000,0.87804,0.87812,0.87794,0.87809,1031,0
1682974800,0.87809,0.87855,0.87808,0.87837,943,0
1682976600,0.87836,0.87861,0.8783,0.87843,1000,0
1682978400,0.87843,0.87856,0.87829,0.87832,820,0
1682980200,0.87832,0.87856,0.87819,0.87838,881,0
1682982000,0.87839,0.87857,0.87823,0.87846,1094,0
1682983800,0.87845,0.87858,0.87833,0.87839,327,1
1682985600,0.878,0.87822,0.87697,0.87811,158,26
1682987400,0.87811,0.8784,0.87803,0.87837,185,20
1682989200,0.87834,0.87854,0.87827,0.87846,348,0
1682991000,0.87846,0.8785,0.87831,0.87845,345,3
1682992800,0.87845,0.8786,0.87834,0.87856,328,0
1682994600,0.87857,0.87863,0.87843,0.87855,666,2
1682996400,0.87853,0.8787,0.87838,0.87869,898,0
1682998200,0.87869,0.87888,0.87856,0.87882,780,0
1683000000,0.87883,0.87892,0.87863,0.87887,1344,0
1683001800,0.87888,0.87891,0.8786,0.87878,1070,0
1683003600,0.87877,0.87921,0.87877,0.87913,1222,0
1683005400,0.87912,0.87913,0.87897,0.879,929,0
1683007200,0.87899,0.87901,0.87878,0.8788,621,0
1683009000,0.8788,0.87895,0.87872,0.87887,580,0
1683010800,0.87887,0.87889,0.8787,0.87879,579,0
1683012600,0.87879,0.87903,0.87849,0.87897,1034,0
1683014400,0.87898,0.87902,0.87846,0.87891,1055,0
1683016200,0.8789,0.87909,0.87876,0.87891,1006,0
1683018000,0.87897,0.8797,0.87897,0.87931,1297,0
1683019800,0.87931,0.87934,0.87903,0.8792,1120,0
1683021600,0.87919,0.87977,0.87904,0.87948,1918,0
1683023400,0.87947,0.8798,0.87913,0.87949,1625,0
1683025200,0.87949,0.87987,0.87898,0.87898,2530,0
1683027000,0.87869,0.87999,0.87836,0.8798,2035,0
1683028800,0.87986,0.88026,0.87923,0.87928,1723,0
1683030600,0.87929,0.87935,0.87864,0.87885,1666,0
1683032400,0.87885,0.87924,0.87868,0.87876,1796,0
1683034200,0.87875,0.87904,0.87849,0.87859,1224,0
1683036000,0.87858,0.87931,0.87848,0.87913,1710,0
1683037800,0.87913,0.87937,0.87871,0.87878,1453,0
1683039600,0.87878,0.87913,0.87839,0.8791,1559,0
1683041400,0.87911,0.87977,0.87894,0.87931,1573,0
1683043200,0.8793,0.87947,0.87897,0.87933,1660,0
1683045000,0.87932,0.88055,0.87925,0.87988,1944,0
1683046800,0.87987,0.88094,0.87977,0.8807,2919,0
1683048600,0.88072,0.88117,0.88004,0.88116,2829,0
1683050400,0.88118,0.88184,0.88103,0.88174,2604,0
1683052200,0.88173,0.88204,0.88144,0.88159,1699,0
1683054000,0.88162,0.88197,0.88155,0.88157,1281,0
1683055800,0.88157,0.88166,0.88131,0.88151,1209,0
1683057600,0.8815,0.88191,0.8815,0.88186,962,0
1683059400,0.88188,0.88198,0.88166,0.88178,1251,0
1683061200,0.88177,0.88208,0.88177,0.88206,848,0
1683063000,0.88207,0.88227,0.88201,0.88226,605,0
1683064800,0.88226,0.88247,0.88186,0.88197,790,0
1683066600,0.88199,0.88242,0.88196,0.88218,622,0
1683068400,0.88218,0.8823,0.88206,0.88224,393,0
1683070200,0.88224,0.88232,0.88213,0.88222,286,0
1683072000,0.88198,0.88231,0.88156,0.88224,203,13
1683073800,0.88219,0.88237,0.8821,0.88214,291,15
1683075600,0.88226,0.88242,0.88211,0.88242,462,1
1683077400,0.88242,0.88257,0.88238,0.88249,286,1
1683079200,0.88249,0.88266,0.88243,0.88257,325,1
1683081000,0.88257,0.88272,0.88247,0.88251,350,0
1683082800,0.8825,0.88273,0.8825,0.88268,603,0
1683084600,0.88268,0.88274,0.88254,0.88265,621,0
1683086400,0.88265,0.88273,0.88256,0.88259,615,0
1683088200,0.88258,0.88276,0.88253,0.88273,670,0
1683090000,0.88273,0.88289,0.88266,0.88289,630,0
1683091800,0.88289,0.88293,0.88274,0.88282,511,0
1683093600,0.88282,0.88291,0.88274,0.88285,490,0
1683095400,0.88284,0.88293,0.88282,0.88286,473,0
1683097200,0.88286,0.88292,0.88268,0.88268,455,0
1683099000,0.88268,0.88274,0.88257,0.8826,366,0
1683100800,0.88259,0.88272,0.88249,0.88252,527,0
1683102600,0.88252,0.8826,0.88222,0.88233,526,0
1683104400,0.88232,0.88261,0.88204,0.88259,882,0
1683106200,0.88257,0.88262,0.88198,0.88223,1294,0
1683108000,0.8822,0.88224,0.88156,0.88171,1662,0
1683109800,0.88171,0.88205,0.88132,0.88196,1256,0
1683111600,0.88197,0.88204,0.88141,0.88155,1609,0
1683113400,0.88152,0.88187,0.88133,0.88167,1216,0
1683115200,0.88167,0.88251,0.88167,0.88247,1241,0
1683117000,0.88249,0.88264,0.88199,0.88201,1472,0
1683118800,0.88201,0.88217,0.88153,0.88175,1600,0
1683120600,0.88175,0.88224,0.88146,0.88224,1260,0
1683122400,0.88225,0.88272,0.88205,0.88224,1148,0
1683124200,0.88222,0.883,0.88142,0.88299,1530,0
1683126000,0.883,0.88324,0.88224,0.88308,1996,0
1683127800,0.88308,0.88348,0.88292,0.88328,1761,0
1683129600,0.88326,0.88327,0.88226,0.88251,1473,0
1683131400,0.88253,0.88271,0.88197,0.882,1773,0
1683133200,0.882,0.88221,0.88164,0.88179,2062,0
1683135000,0.88179,0.88264,0.88179,0.88195,1677,0
1683136800,0.88194,0.88208,0.88109,0.88112,1540,0
1683138600,0.88113,0.88115,0.88053,0.88065,1450,0
1683140400,0.88065,0.88077,0.8802,0.88032,914,0
1683142200,0.88032,0.88044,0.87997,0.88015,960,0
1683144000,0.88015,0.88029,0.87994,0.88007,713,0
1683145800,0.88009,0.88014,0.87956,0.87964,1111,0
1683147600,0.87965,0.88115,0.87963,0.88039,2644,0
1683149400,0.8804,0.88049,0.88008,0.88028,2802,0
1683151200,0.88027,0.88103,0.88006,0.88065,2782,0
1683153000,0.88066,0.88067,0.88031,0.88067,2146,0
1683154800,0.88066,0.88066,0.88026,0.88033,697,0
1683156600,0.8803,0.88052,0.88016,0.88036,721,0
1683158400,0.88026,0.88054,0.8797,0.88046,295,55
1683160200,0.88047,0.88098,0.88014,0.88022,307,13
1683162000,0.88028,0.88136,0.88028,0.88086,1245,0
1683163800,0.88088,0.88098,0.88072,0.88081,981,0
1683165600,0.88078,0.88092,0.8806,0.88073,800,1
1683167400,0.88074,0.8808,0.88065,0.88067,848,0
1683169200,0.88069,0.88088,0.88041,0.88052,1093,0
1683171000,0.88053,0.88071,0.88051,0.88069,666,0
1683172800,0.88069,0.88076,0.88045,0.88054,916,0
1683174600,0.88053,0.88068,0.88029,0.88061,985,0
1683176400,0.88061,0.88074,0.88056,0.88066,670,0
1683178200,0.88066,0.88077,0.88044,0.88059,1347,0
1683180000,0.88062,0.88081,0.88053,0.88079,761,0
1683181800,0.88079,0.8809,0.8806,0.88064,571,0
1683183600,0.88064,0.88084,0.88054,0.88062,509,0
1683185400,0.88061,0.88079,0.88053,0.88071,455,0
1683187200,0.88072,0.88075,0.88059,0.88069,1012,0
1683189000,0.8807,0.8808,0.88061,0.88075,1048,0
1683190800,0.88077,0.88118,0.88053,0.88107,1760,0
1683192600,0.88105,0.88135,0.88046,0.8809,1717,0
1683194400,0.88092,0.88125,0.88045,0.88073,2161,0
1683196200,0.88074,0.8811,0.8797,0.87975,1880,0
1683198000,0.87977,0.87987,0.87899,0.87909,1752,0
1683199800,0.87904,0.87931,0.87876,0.87914,1731,0
1683201600,0.87914,0.87946,0.87857,0.87879,1596,0
1683203400,0.87879,0.87948,0.87876,0.87936,1666,0
1683205200,0.87934,0.87968,0.87874,0.87953,1347,0
