time,open,high,low,close,tick_volume,spread
1522713600,130.238,130.3,130.179,130.203,6107,0
1522717200,130.202,130.257,130.17,130.188,2301,2
1522720800,130.187,130.211,130.002,130.057,3688,0
1522724400,130.057,130.193,129.984,130.182,8798,0
1522728000,130.181,130.362,130.162,130.246,9567,0
1522731600,130.247,130.386,130.204,130.342,4912,0
1522735200,130.342,130.419,130.312,130.374,5387,0
1522738800,130.373,130.433,130.352,130.402,3818,0
1522742400,130.401,130.512,130.3,130.453,7519,0
1522746000,130.453,130.679,130.327,130.499,14856,0
1522749600,130.5,130.821,130.478,130.692,15401,0
1522753200,130.688,130.921,130.661,130.678,13995,0
1522756800,130.677,130.746,130.525,130.709,12392,0
1522760400,130.709,130.767,130.495,130.5,11891,0
1522764000,130.502,130.744,130.458,130.708,13672,0
1522767600,130.709,130.826,130.609,130.698,14000,0
1522771200,130.699,130.717,130.477,130.504,25416,0
1522774800,130.505,130.812,130.383,130.776,26747,0
1522778400,130.777,130.809,130.503,130.506,21117,0
1522782000,130.506,130.607,130.452,130.566,14483,0
1522785600,130.567,130.751,130.518,130.687,13607,0
1522789200,130.686,130.762,130.554,130.742,16252,0
1522792800,130.74,130.867,130.683,130.787,21573,0
1522796400,130.79,130.878,130.754,130.795,3405,0
1522800000,130.809,130.875,130.781,130.788,5622,0
1522803600,130.785,130.815,130.687,130.707,5211,0
1522807200,130.707,130.747,130.664,130.691,3101,0
1522810800,130.694,130.841,130.632,130.797,9440,0
1522814400,130.798,130.837,130.671,130.777,10267,0
1522818000,130.777,130.846,130.742,130.769,6590,0
1522821600,130.77,130.823,130.745,130.817,5259,0
1522825200,130.818,130.85,130.779,130.831,3340,0
1522828800,130.831,130.855,130.748,130.814,6925,0
1522832400,130.815,130.871,130.742,130.821,10218,0
1522836000,130.821,130.827,130.451,130.575,20332,0
1522839600,130.575,130.593,130.403,130.535,24070,0
1522843200,130.524,130.554,130.32,130.35,12615,0
1522846800,130.348,130.42,130.232,130.389,15354,0
1522850400,130.388,130.544,130.381,130.471,14235,0
1522854000,130.472,130.713,130.278,130.651,18902,0
1522857600,130.65,130.787,130.527,130.734,24299,0
1522861200,130.734,131.064,130.698,131.042,28678,0
1522864800,131.041,131.154,130.939,130.976,20992,0
1522868400,130.975,131.145,130.917,131.072,14471,0
1522872000,131.075,131.082,130.829,130.907,13955,0
1522875600,130.907,131.125,130.872,131.075,16181,0
1522879200,131.074,131.188,131.017,131.176,14479,0
1522882800,131.176,131.197,131.092,131.107,3467,0
1522886400,131.08,131.151,131.056,131.122,5105,0
1522890000,131.12,131.188,131.091,131.176,3308,0
1522893600,131.176,131.235,131.132,131.213,3671,0
1522897200,131.217,131.31,131.129,131.297,12487,0
1522900800,131.296,131.364,131.177,131.348,8794,0
1522904400,131.348,131.381,131.266,131.364,6174,0
1522908000,131.363,131.378,131.309,131.347,6624,0
1522911600,131.347,131.415,131.25,131.283,7789,0
1522915200,131.283,131.297,131.142,131.222,6007,0
1522918800,131.221,131.31,131.11,131.286,11176,0
1522922400,131.284,131.445,131.192,131.224,15812,0
1522926000,131.225,131.443,131.156,131.376,11916,0
1522929600,131.377,131.474,131.337,131.418,11896,0
