time,open,high,low,close,tick_volume,spread
1683504000,148.531,148.624,148.443,148.605,341,62
1683505800,148.613,148.648,148.56,148.596,377,41
1683507600,148.613,148.763,148.599,148.727,945,0
1683509400,148.728,148.792,148.697,148.788,1036,0
1683511200,148.788,148.992,148.746,148.965,1412,0
1683513000,148.968,149.086,148.951,148.96,1273,0
1683514800,148.96,148.96,148.786,148.848,2177,0
1683516600,148.849,148.896,148.687,148.713,1784,0
1683518400,148.712,148.807,148.635,148.784,1798,0
1683520200,148.785,148.903,148.742,148.79,1792,0
1683522000,148.791,148.798,148.644,148.686,1507,0
1683523800,148.688,148.788,148.682,148.748,1695,0
1683525600,148.748,148.86,148.747,148.833,1194,0
1683527400,148.834,148.878,148.822,148.874,1083,0
1683529200,148.873,148.876,148.802,148.854,1338,0
1683531000,148.854,148.86,148.774,148.805,1089,0
1683532800,148.803,148.825,148.77,148.809,1050,0
1683534600,148.81,148.821,148.687,148.735,1438,0
1683536400,148.727,148.816,148.664,148.755,2076,0
1683538200,148.76,148.954,148.748,148.908,1770,0
1683540000,148.909,149.073,148.888,149.032,2491,0
1683541800,149.032,149.201,149.014,149.197,2755,0
1683543600,149.198,149.267,149.105,149.178,2543,0
1683545400,149.178,149.205,148.95,148.95,2897,0
1683547200,148.949,148.957,148.803,148.887,2622,0
1683549000,148.886,149.058,148.877,149.01,2147,0
1683550800,149.009,149.097,148.988,149.069,2314,0
1683552600,149.069,149.221,149.03,149.173,2372,0
1683554400,149.177,149.209,149.148,149.165,1726,0
1683556200,149.166,149.243,149.111,149.183,2299,0
1683558000,149.184,149.213,149.083,149.138,2435,0
1683559800,149.143,149.147,148.988,149.066,2418,0
1683561600,149.062,149.119,148.958,149.06,2448,0
1683563400,149.065,149.145,148.874,149.018,2927,0
1683565200,149.02,149.05,148.741,148.746,2885,0
1683567000,148.748,148.81,148.452,148.563,2771,0
1683568800,148.57,148.641,148.515,148.54,2207,0
1683570600,148.538,148.626,148.502,148.58,1904,0
1683572400,148.579,148.603,148.531,148.577,1878,0
1683574200,148.579,148.595,148.473,148.549,1308,0
1683576000,148.555,148.585,148.519,148.535,1157,0
1683577800,148.536,148.598,148.535,148.59,1183,0
1683579600,148.59,148.725,148.493,148.719,2610,0
1683581400,148.724,148.779,148.675,148.73,1619,0
1683583200,148.734,148.747,148.659,148.707,2135,0
1683585000,148.702,148.74,148.646,148.662,1621,0
1683586800,148.663,148.677,148.617,148.658,1533,0
1683588600,148.655,148.693,148.628,148.684,1341,0
1683590400,148.625,148.635,148.501,148.612,1924,49
1683592200,148.612,148.654,148.578,148.624,1325,27
1683594000,148.648,148.67,148.576,148.599,2938,5
1683595800,148.598,148.604,148.502,148.532,1353,0
1683597600,148.531,148.604,148.497,148.545,1255,0
1683599400,148.54,148.602,148.505,148.549,986,0
1683601200,148.543,148.677,148.536,148.658,2611,0
1683603000,148.657,148.693,148.55,148.595,1775,0
1683604800,148.594,148.609,148.511,148.567,1837,0
1683606600,148.566,148.579,148.276,148.389,1813,0
1683608400,148.389,148.48,148.36,148.453,1422,0
1683610200,148.453,148.473,148.419,148.438,1302,0
1683612000,148.437,148.438,148.38,148.407,1393,0
1683613800,148.407,148.442,148.312,148.345,1287,0
1683615600,148.352,148.386,148.297,148.366,1234,0
1683617400,148.37,148.41,148.329,148.354,1351,0
1683619200,148.356,148.395,148.266,148.291,1347,0
1683621000,148.292,148.362,148.232,148.294,1540,0
1683622800,148.295,148.309,148.169,148.223,2320,0
1683624600,148.229,148.316,148.071,148.239,2602,0
1683626400,148.242,148.448,148.161,148.195,3525,0
1683628200,148.194,148.258,147.965,147.979,2971,0
1683630000,147.99,148.195,147.975,148.173,2787,0
1683631800,148.173,148.277,148.029,148.264,3217,0
1683633600,148.261,148.406,148.215,148.258,2747,0
1683635400,148.257,148.267,148.111,148.158,2142,0
1683637200,148.161,148.178,148.047,148.122,1943,0
1683639000,148.122,148.129,147.996,147.997,1795,0
1683640800,147.997,148.05,147.954,148.04,1792,0
1683642600,148.04,148.042,147.891,147.934,2593,0
1683644400,147.933,148.092,147.91,148.076,2591,0
1683646200,148.078,148.218,147.988,148.031,2941,0
1683648000,148.029,148.112,147.992,148.011,3154,0
1683649800,148.011,148.149,147.969,148.054,2977,0
1683651600,148.055,148.124,147.939,148.103,2742,0
1683653400,148.108,148.111,147.901,147.961,3240,0
1683655200,147.966,148.052,147.94,148.043,2210,0
1683657000,148.043,148.089,147.999,148.03,2252,0
