time,open,high,low,close,tick_volume,spread
1522713600,1.23004,1.23049,1.22987,1.23015,4282,0
1522717200,1.23014,1.23033,1.22982,1.23009,1077,0
1522720800,1.23009,1.23032,1.22923,1.22931,2113,0
1522724400,1.22933,1.23042,1.22922,1.23032,3532,0
1522728000,1.23034,1.23081,1.2297,1.23034,4192,0
1522731600,1.23034,1.2309700000000001,1.2302,1.23075,2376,0
1522735200,1.23075,1.23117,1.23051,1.23056,2158,0
1522738800,1.23055,1.23101,1.23045,1.23096,1792,0
1522742400,1.23096,1.2311,1.23034,1.23085,2635,0
1522746000,1.23084,1.23249,1.23047,1.23233,8605,0
1522749600,1.23232,1.23362,1.23204,1.23242,9180,0
1522753200,1.23241,1.23309,1.2314,1.2316799999999999,7507,0
1522756800,1.23167,1.23191,1.23042,1.23075,6983,0
1522760400,1.23074,1.23156,1.22862,1.22884,6761,0
1522764000,1.22882,1.23058,1.22865,1.23019,8158,0
1522767600,1.23021,1.23151,1.22921,1.22959,8094,0
1522771200,1.2296,1.2299,1.2256,1.2258,12848,0
1522774800,1.2258,1.22748,1.22537,1.22728,11790,0
1522778400,1.2273100000000001,1.22762,1.22589,1.22611,9687,0
1522782000,1.2261199999999999,1.2271,1.22579,1.22666,5500,0
1522785600,1.22666,1.22742,1.22628,1.22641,4247,0
1522789200,1.22641,1.227,1.22606,1.22678,5808,0
1522792800,1.22677,1.22718,1.22618,1.2263600000000001,8368,0
1522796400,1.22635,1.2272,1.22635,1.2269,2289,0
1522800000,1.22687,1.22709,1.22643,1.227,2471,0
1522803600,1.227,1.2273100000000001,1.22683,1.22723,977,0
1522807200,1.22725,1.22784,1.22687,1.22783,1410,0
1522810800,1.22785,1.22808,1.22728,1.22789,3746,0
1522814400,1.22788,1.2279200000000001,1.22742,1.22778,4219,0
1522818000,1.22778,1.22871,1.22778,1.22814,4135,0
1522821600,1.22813,1.22836,1.22752,1.22824,2788,0
1522825200,1.22823,1.22841,1.22782,1.22782,1875,0
1522828800,1.22782,1.22814,1.22726,1.22783,3427,0
1522832400,1.22781,1.22782,1.22633,1.22664,6589,0
1522836000,1.22665,1.2295099999999999,1.2257,1.22947,11573,0
1522839600,1.22948,1.23148,1.22881,1.2292,12334,0
1522843200,1.22918,1.22966,1.22763,1.22775,5658,0
1522846800,1.22773,1.22872,1.2276,1.2285,7272,0
1522850400,1.22849,1.22928,1.22818,1.22882,5827,0
1522854000,1.22883,1.23006,1.22706,1.22968,9781,0
1522857600,1.22969,1.23003,1.22879,1.2297,10607,0
1522861200,1.22969,1.23099,1.22894,1.22984,11909,0
1522864800,1.2298499999999999,1.23038,1.229,1.22912,8503,0
1522868400,1.22915,1.22978,1.2287,1.2294100000000001,4889,0
1522872000,1.22942,1.22945,1.22824,1.22833,4973,0
1522875600,1.22832,1.22851,1.22738,1.22799,4925,0
1522879200,1.228,1.22842,1.22743,1.22827,5256,0
1522882800,1.22827,1.22827,1.22764,1.22785,1722,0
1522886400,1.22767,1.2285300000000001,1.22765,1.2281900000000001,1901,0
1522890000,1.2281900000000001,1.22857,1.22806,1.22846,1216,0
1522893600,1.22846,1.22875,1.22817,1.22873,1626,0
1522897200,1.22874,1.22903,1.22844,1.22861,4931,0
1522900800,1.22861,1.22894,1.22769,1.22801,3464,0
1522904400,1.22801,1.22817,1.2277,1.22797,2574,0
1522908000,1.22797,1.22874,1.22776,1.22847,2638,0
1522911600,1.22846,1.2285300000000001,1.22747,1.2276799999999999,3330,0
1522915200,1.22767,1.2279,1.22706,1.22753,2631,0
1522918800,1.22753,1.22757,1.22587,1.22633,7231,0
1522922400,1.22633,1.22709,1.22491,1.22573,10197,0
1522926000,1.22576,1.2269,1.22537,1.22652,5846,0
1522929600,1.22652,1.22837,1.22626,1.22763,6608,0
1522933200,1.22762,1.22803,1.22688,1.228,5086,0
1522936800,1.22799,1.22817,1.22529,1.22559,6819,0
1522940400,1.2256,1.22629,1.22356,1.22501,12497,0
1522944000,1.225,1.22689,1.22448,1.22558,10306,0
1522947600,1.22559,1.22572,1.22214,1.22293,11697,0
1522951200,1.22292,1.2233,1.22184,1.22291,8433,0
