time,open,high,low,close,tick_volume,spread
1522713600,148.661,148.775,148.603,148.713,6871,3
1522717200,148.712,148.769,148.668,148.686,2928,5
1522720800,148.686,148.736,148.548,148.609,3684,1
1522724400,148.609,148.714,148.493,148.689,8511,0
1522728000,148.688,148.943,148.676,148.768,9170,0
1522731600,148.768,148.929,148.731,148.869,5514,3
1522735200,148.871,148.968,148.831,148.916,5428,0
1522738800,148.916,148.992,148.882,148.955,3966,0
1522742400,148.954,149.054,148.841,149.002,6631,1
1522746000,149.002,149.218,148.844,149.024,11941,0
1522749600,149.026,149.436,148.973,149.332,12692,0
1522753200,149.331,149.535,149.302,149.391,11837,0
1522756800,149.391,149.525,149.219,149.411,9707,0
1522760400,149.41,149.488,148.972,148.972,10332,0
1522764000,148.973,149.368,148.88,149.268,11982,0
1522767600,149.268,149.513,149.267,149.486,10406,0
1522771200,149.487,149.678,149.333,149.446,18382,0
1522774800,149.446,149.675,149.304,149.582,19737,0
1522778400,149.582,149.877,149.582,149.729,14915,0
1522782000,149.728,149.836,149.595,149.614,9917,0
1522785600,149.614,149.849,149.567,149.749,8681,0
1522789200,149.748,149.812,149.551,149.802,10927,0
1522792800,149.802,149.96,149.753,149.865,13693,0
1522796400,149.866,149.943,149.82,149.878,2730,0
1522800000,149.82,149.953,149.808,149.87,4462,5
1522803600,149.869,149.91,149.768,149.792,3941,3
1522807200,149.795,149.839,149.719,149.753,2892,0
1522810800,149.757,150.014,149.685,150.0,9873,0
1522814400,150.0,150.03,149.859,149.965,9243,0
1522818000,149.966,150.113,149.945,150.003,7347,0
1522821600,150.003,150.09,149.99,150.077,5940,0
1522825200,150.077,150.101,150.024,150.074,3568,2
1522828800,150.074,150.089,149.929,149.997,6068,1
1522832400,149.997,150.079,149.9,150.027,8981,0
1522836000,150.028,150.028,149.426,149.573,17684,0
1522839600,149.575,149.582,149.25,149.497,21755,0
1522843200,149.496,149.522,149.134,149.17,13238,0
1522846800,149.171,149.171,148.83,148.984,14790,0
1522850400,148.984,149.207,148.978,149.067,11945,0
1522854000,149.067,149.522,148.798,149.45,16827,0
1522857600,149.45,149.734,149.372,149.698,17107,0
1522861200,149.703,150.096,149.601,150.072,22075,0
1522864800,150.071,150.154,149.887,149.973,15151,0
1522868400,149.975,150.18,149.929,150.127,11065,0
1522872000,150.131,150.133,149.915,150.001,9499,0
1522875600,150.003,150.299,149.943,150.227,11017,0
1522879200,150.222,150.412,150.191,150.392,9163,0
1522882800,150.391,150.429,150.312,150.336,2663,0
