time,open,high,low,close,tick_volume,spread
1755119100,200.099,200.145,200.095,200.129,384,2
1755119400,200.129,200.149,200.123,200.134,333,2
1755119700,200.129,200.142,200.079,200.092,410,2
1755120000,200.092,200.118,200.084,200.118,272,2
1755120300,200.118,200.122,200.091,200.093,355,2
1755120600,200.093,200.104,200.069,200.071,324,2
1755120900,200.071,200.077,200.016,200.016,415,2
1755121200,200.017,200.056,200.017,200.045,268,2
1755121500,200.047,200.058,200.029,200.036,292,2
1755121800,200.038,200.047,200.012,200.021,345,2
1755122100,200.021,200.032,199.996,200.025,464,2
1755122400,200.025,200.05,200.009,200.049,381,2
1755122700,200.049,200.058,200.036,200.043,250,2
1755123000,200.043,200.056,200.038,200.051,241,2
1755123300,200.051,200.072,200.045,200.055,229,2
1755123600,200.055,200.071,200.034,200.052,310,2
1755123900,200.052,200.062,200.019,200.024,300,2
1755124200,200.024,200.055,200.023,200.029,307,2
1755124500,200.029,200.037,200.018,200.033,267,2
1755124800,200.031,200.064,200.016,200.054,302,2
1755125100,200.054,200.07,200.046,200.061,288,2
1755125400,200.061,200.086,200.061,200.08,338,2
1755125700,200.079,200.146,200.069,200.135,396,2
1755126000,200.135,200.165,200.128,200.141,274,2
1755126300,200.14,200.158,200.118,200.118,207,2
1755126600,200.118,200.131,200.11,200.12,172,2
1755126900,200.12,200.151,200.105,200.118,227,2
1755127200,200.118,200.135,200.11,200.117,187,2
1755127500,200.117,200.119,200.081,200.082,211,2
1755127800,200.082,200.133,200.082,200.122,223,2
1755128100,200.122,200.136,200.107,200.109,247,3
1755128400,200.109,200.109,200.07,200.073,228,7
1755128700,200.075,200.079,200.044,200.071,274,27
1755129000,200.071,200.141,200.068,200.132,284,27
1755129300,200.132,200.144,200.081,200.088,291,28
1755129600,200.033,200.033,199.878,199.962,17,70
1755129900,199.962,199.963,199.922,199.944,21,180
1755130200,199.944,199.952,199.881,199.952,14,166
1755130500,199.952,199.973,199.936,199.973,16,153
1755130800,199.973,199.973,199.912,199.932,60,157
1755131100,199.932,199.942,199.928,199.942,50,250
1755131400,199.946,199.956,199.886,199.904,75,250
1755131700,199.904,199.952,199.898,199.926,183,244
1755132000,199.926,199.966,199.89,199.89,156,230
1755132300,199.89,199.95,199.89,199.906,108,223
1755132600,199.906,199.934,199.868,199.868,52,250
1755132900,199.868,199.916,199.782,199.822,135,250
1755133200,199.822,199.96,199.802,199.955,214,10
1755133500,199.955,199.984,199.937,199.979,94,9
1755133800,199.976,199.98,199.954,199.977,179,8
1755134100,199.979,199.979,199.954,199.968,317,7
1755134400,199.967,199.991,199.967,199.982,161,7
1755134700,199.982,200.008,199.981,200.003,190,7
1755135000,200.002,200.011,199.981,199.992,116,5
1755135300,199.992,199.992,199.946,199.97,169,5
1755135600,199.97,199.995,199.965,199.985,148,4
1755135900,199.985,199.99,199.966,199.976,98,4
1755136200,199.976,199.993,199.969,199.984,116,4
1755136500,199.984,199.997,199.972,199.978,114,4
1755136800,199.978,199.978,199.93,199.93,134,3
1755137100,199.929,199.957,199.908,199.921,143,3
1755137400,199.921,199.951,199.916,199.936,142,3
1755137700,199.936,199.993,199.928,199.964,234,2
1755138000,199.964,199.979,199.942,199.969,166,3
1755138300,199.969,199.972,199.918,199.92,192,3
1755138600,199.92,199.941,199.901,199.902,193,3
1755138900,199.902,199.938,199.897,199.936,153,2
1755139200,199.936,199.948,199.914,199.92,210,2
1755139500,199.922,199.923,199.894,199.915,188,2
1755139800,199.915,199.922,199.888,199.895,174,2
1755140100,199.895,199.898,199.855,199.868,267,2
1755140400,199.868,199.872,199.599,199.623,577,4
1755140700,199.623,199.629,199.492,199.523,570,2
1755141000,199.523,199.589,199.496,199.544,496,2
1755141300,199.543,199.547,199.396,199.478,507,2
1755141600,199.478,199.504,199.436,199.458,406,2
1755141900,199.458,199.458,199.397,199.429,486,2
1755142200,199.429,199.483,199.37,199.461,477,2
1755142500,199.461,199.467,199.338,199.376,508,2
1755142800,199.376,199.405,199.316,199.34,504,2
1755143100,199.34,199.358,199.286,199.308,492,2
1755143400,199.308,199.332,199.212,199.213,563,2
1755143700,199.211,199.312,199.198,199.296,582,2
1755144000,199.296,199.312,199.1,199.154,694,2
1755144300,199.158,199.198,199.122,199.186,612,2
1755144600,199.185,199.191,198.996,199.049,675,2
1755144900,199.049,199.07,198.974,198.991,672,3
1755145200,198.992,199.03,198.952,199.026,624,3
1755145500,199.024,199.093,199.01,199.045,527,3
1755145800,199.045,199.218,199.036,199.217,758,3
1755146100,199.22,199.22,199.105,199.135,587,3
1755146400,199.134,199.136,199.062,199.096,485,3
1755146700,199.096,199.096,198.999,199.003,542,2
1755147000,199.003,199.033,198.915,199.002,633,2
1755147300,199.002,199.018,198.948,198.99,526,2
1755147600,198.993,199.063,198.972,199.049,501,2
1755147900,199.049,199.081,198.974,199.033,488,2
1755148200,199.033,199.045,199.001,199.018,431,2
1755148500,199.023,199.13,199.016,199.099,555,2
1755148800,199.099,199.116,199.056,199.108,444,2
1755149100,199.108,199.191,199.105,199.181,419,2
1755149400,199.181,199.2,199.133,199.137,492,2
1755149700,199.137,199.155,199.077,199.104,422,2
1755150000,199.104,199.114,199.039,199.045,293,2
1755150300,199.044,199.085,199.022,199.081,431,2
1755150600,199.081,199.141,199.063,199.132,355,2
1755150900,199.132,199.187,199.106,199.185,401,2
1755151200,199.185,199.187,199.099,199.107,378,2
1755151500,199.107,199.192,199.107,199.179,357,2
1755151800,199.179,199.179,199.114,199.118,358,2
