time,open,high,low,close,tick_volume,spread
1522713600,1.40428,1.40509,1.4038599999999999,1.40494,1132,0
1522717200,1.40493,1.40514,1.40446,1.40487,1813,2
1522720800,1.40487,1.40534,1.40459,1.40466,3032,0
1522724400,1.40466,1.40545,1.40453,1.40524,4881,0
1522728000,1.40524,1.40619,1.40464,1.4053,6059,0
1522731600,1.40529,1.4059599999999999,1.40521,1.40571,4091,0
1522735200,1.4057,1.4061,1.4055900000000001,1.4055900000000001,4187,0
1522738800,1.4055900000000001,1.40616,1.40538,1.40607,3140,0
1522742400,1.40606,1.40617,1.4053200000000001,1.40585,4497,0
1522746000,1.40585,1.40751,1.4058,1.40726,10976,0
1522749600,1.40725,1.40888,1.40643,1.40821,13318,0
1522753200,1.40819,1.40868,1.40746,1.40805,12601,0
1522756800,1.4080599999999999,1.40854,1.4068100000000001,1.40685,11739,0
1522760400,1.40685,1.4074900000000001,1.40268,1.40279,11990,0
1522764000,1.40277,1.40574,1.40209,1.40489,14192,0
1522767600,1.40489,1.4072200000000001,1.40466,1.40636,11754,0
1522771200,1.40635,1.40665,1.40321,1.40372,18859,0
1522774800,1.4037,1.40488,1.40324,1.40377,19259,0
1522778400,1.4037899999999999,1.40773,1.4037899999999999,1.40669,15141,0
1522782000,1.4067,1.4072,1.40547,1.4056,9118,0
1522785600,1.4056,1.40663,1.40527,1.40529,7228,0
1522789200,1.4053,1.40576,1.40488,1.40563,7167,0
1522792800,1.40563,1.40613,1.40515,1.40523,8435,0
1522796400,1.40523,1.40599,1.40523,1.40588,3570,0
1522800000,1.40523,1.4061,1.40523,1.40598,900,3
1522803600,1.40598,1.40643,1.40579,1.40643,2292,0
1522807200,1.40642,1.4069099999999999,1.40602,1.4069,2424,0
1522810800,1.4069099999999999,1.40838,1.40625,1.40818,5215,0
1522814400,1.40818,1.4084699999999999,1.4075,1.40795,5010,0
1522818000,1.40795,1.4096600000000001,1.40791,1.40878,6039,0
1522821600,1.40878,1.4092799999999999,1.40829,1.40906,4218,0
1522825200,1.40906,1.40922,1.4083999999999999,1.4083999999999999,2668,0
1522828800,1.4083999999999999,1.4086400000000001,1.4075199999999999,1.40787,5417,0
1522832400,1.40786,1.40793,1.40647,1.40673,10177,0
1522836000,1.40672,1.4083700000000001,1.40543,1.40836,17711,0
1522839600,1.40835,1.40861,1.40679,1.40772,20936,0
1522843200,1.40772,1.408,1.40497,1.40507,14585,0
1522846800,1.4050799999999999,1.4050799999999999,1.40285,1.4037,14826,0
1522850400,1.40372,1.40478,1.40332,1.40397,12712,0
1522854000,1.40398,1.40705,1.40148,1.40665,16195,0
1522857600,1.40666,1.4081000000000001,1.4062999999999999,1.40798,15220,0
1522861200,1.40794,1.40891,1.4074900000000001,1.40845,18763,0
1522864800,1.4084400000000001,1.40854,1.40727,1.40743,13377,0
1522868400,1.40744,1.40828,1.40725,1.40816,8496,0
1522872000,1.40816,1.40821,1.40732,1.4075,7310,0
1522875600,1.4075,1.40795,1.40682,1.4074200000000001,7806,0
1522879200,1.4074200000000001,1.4083700000000001,1.40735,1.40824,7018,0
1522882800,1.40824,1.40824,1.40778,1.408,2995,0
1522886400,1.40763,1.40878,1.40669,1.4084699999999999,1216,1
1522890000,1.40854,1.40883,1.40811,1.40863,2358,0
1522893600,1.40862,1.40887,1.40841,1.40875,2049,0
1522897200,1.40875,1.40971,1.40809,1.40938,6092,0
1522900800,1.40938,1.40961,1.40798,1.40842,4552,0
1522904400,1.40842,1.40842,1.40753,1.40768,3687,0
1522908000,1.40768,1.40846,1.40755,1.40808,3157,0
1522911600,1.40808,1.4081000000000001,1.4069099999999999,1.407,3918,0
1522915200,1.40697,1.4074,1.40613,1.40645,4310,0
1522918800,1.40645,1.4068800000000001,1.4052,1.40533,9094,0
1522922400,1.40534,1.40666,1.40463,1.40543,15395,0
1522926000,1.40544,1.40616,1.40311,1.40404,12988,0
1522929600,1.4040300000000001,1.4069,1.40401,1.40621,11062,0
1522933200,1.40621,1.40658,1.40499,1.40641,10328,0
1522936800,1.40642,1.4069099999999999,1.40239,1.40287,11870,0
1522940400,1.40287,1.403,1.40001,1.40167,17048,0
1522944000,1.40168,1.40319,1.4010099999999999,1.40226,14702,0
1522947600,1.40226,1.40247,1.39868,1.39987,18114,0
1522951200,1.3998599999999999,1.40008,1.39655,1.39904,13211,0
1522954800,1.39903,1.4003700000000001,1.39874,1.39874,10189,0
1522958400,1.39875,1.3998,1.39824,1.39969,7681,0
1522962000,1.39968,1.40026,1.39914,1.40014,6105,0
1522965600,1.40014,1.40026,1.39973,1.40022,4445,0
1522969200,1.40022,1.40065,1.39992,1.4004400000000001,2865,0
1522972800,1.40015,1.40068,1.39969,1.40019,640,4
1522976400,1.40015,1.40063,1.40011,1.40038,2624,1
1522980000,1.40039,1.40088,1.39996,1.40061,5596,0
1522983600,1.40064,1.4011,1.4005,1.4007399999999999,6990,0
1522987200,1.40076,1.40215,1.40069,1.4018,6130,0
1522990800,1.4018,1.4019599999999999,1.4013,1.40131,3635,0
1522994400,1.4013200000000001,1.40155,1.39999,1.40016,4604,0
1522998000,1.40019,1.40022,1.3992200000000001,1.39973,5919,0
1523001600,1.39971,1.39974,1.39879,1.3992200000000001,7205,0
1523005200,1.3992200000000001,1.40022,1.39858,1.39954,12506,0
1523008800,1.3995199999999999,1.39993,1.39831,1.3998300000000001,13492,0
1523012400,1.3998300000000001,1.40097,1.39932,1.4005,12422,0
1523016000,1.40049,1.40149,1.40041,1.40125,10270,0
1523019600,1.40124,1.40253,1.4010799999999999,1.40143,8795,0
1523023200,1.40143,1.40156,1.40008,1.40036,10903,0
1523026800,1.4003700000000001,1.40381,1.4003,1.40346,24238,0
1523030400,1.40347,1.40789,1.40283,1.40739,26218,0
1523034000,1.4074,1.41055,1.40683,1.40824,20341,0
1523037600,1.40823,1.40957,1.40823,1.40878,14932,0
1523041200,1.40877,1.40938,1.40832,1.40846,10604,0
1523044800,1.40846,1.40879,1.40758,1.40872,9361,0
1523048400,1.4087399999999999,1.41016,1.40802,1.40853,8679,0
1523052000,1.40852,1.4095,1.40842,1.40896,9624,0
1523055600,1.40896,1.40921,1.40873,1.4088,3513,0
1523232000,1.40889,1.4090500000000001,1.40849,1.40878,242,10
1523235600,1.40878,1.40911,1.40822,1.40907,2649,0
1523239200,1.4090799999999999,1.40921,1.40853,1.40904,3635,0
1523242800,1.40906,1.4096899999999999,1.40858,1.40965,5970,0
1523246400,1.40964,1.41016,1.40917,1.40934,6015,0
1523250000,1.4093499999999999,1.4097,1.40878,1.40965,4421,0
1523253600,1.40964,1.40976,1.4090500000000001,1.40954,4781,0
1523257200,1.40955,1.4096199999999999,1.4093,1.40953,2216,0
1523260800,1.40954,1.4098899999999999,1.40909,1.40957,3939,0
1523264400,1.40957,1.4118,1.40895,1.40998,14351,0
1523268000,1.40998,1.4117,1.4078300000000001,1.41129,21451,0
1523271600,1.41128,1.4114,1.4098600000000001,1.41109,12754,0
1523275200,1.4110800000000001,1.41155,1.4093,1.4093,9349,0
1523278800,1.40934,1.41063,1.40842,1.41032,11733,0
1523282400,1.41032,1.41195,1.40961,1.41183,10544,0
1523286000,1.41184,1.4144999999999999,1.41157,1.41442,13716,0
1523289600,1.41442,1.41645,1.4142000000000001,1.4145400000000001,13206,0
1523293200,1.4145400000000001,1.41524,1.41253,1.4127100000000001,15589,0
1523296800,1.41272,1.41391,1.4123,1.41346,11080,0
1523300400,1.41346,1.41443,1.41239,1.41347,8739,0
1523304000,1.41347,1.41433,1.4127,1.41311,6242,0
1523307600,1.41311,1.41387,1.41278,1.4133499999999999,5881,0
1523311200,1.41337,1.41338,1.41246,1.41293,6494,0
1523314800,1.41292,1.41321,1.4126,1.41319,2894,0
1523318400,1.41279,1.41336,1.41248,1.41281,1243,0
1523322000,1.41285,1.41334,1.41285,1.41319,1913,0
1523325600,1.41315,1.41351,1.41299,1.41333,1945,0
1523329200,1.4133499999999999,1.41403,1.41314,1.41351,4648,0
1523332800,1.41352,1.41394,1.4126699999999999,1.4127,7202,0
1523336400,1.4127,1.41312,1.4120300000000001,1.41287,9780,0
1523340000,1.41288,1.4136,1.41245,1.41358,5751,0
1523343600,1.4135900000000001,1.4137,1.41324,1.41367,2827,0
1523347200,1.41367,1.41373,1.41275,1.4133,4013,0
1523350800,1.4133,1.41503,1.41256,1.41473,11428,0
1523354400,1.41473,1.41688,1.41368,1.41614,17219,0
1523358000,1.41615,1.41688,1.4148800000000001,1.41669,15308,0
1523361600,1.41669,1.41794,1.41654,1.41686,10570,0
1523365200,1.41686,1.41711,1.41556,1.41585,10224,0
1523368800,1.41585,1.4188,1.4151500000000001,1.41717,21458,0
1523372400,1.41718,1.41822,1.41554,1.41621,15227,0
1523376000,1.41618,1.41802,1.41604,1.41781,15765,0
