time,open,high,low,close,tick_volume,spread,real_volume,t
1319500800,0.01,0.01,0.01,0.01,5,0,0,2011-10-25 00:00:00+00:00
1319587200,0.01,0.01,0.01,0.01,5,0,0,2011-10-26 00:00:00+00:00
1319673600,0.01,0.05,0.01,0.01,80,0,0,2011-10-27 00:00:00+00:00
1319760000,0.01,0.05,0.01,0.02,18,0,0,2011-10-28 00:00:00+00:00
1319846400,0.01,0.05,0.0,0.02,40,0,0,2011-10-29 00:00:00+00:00
1319932800,0.02,0.03,0.01,0.02,14,0,0,2011-10-30 00:00:00+00:00
1320019200,0.02,0.03,0.02,0.02,35,0,0,2011-10-31 00:00:00+00:00
1320105600,0.02,0.04,0.02,0.03,24,0,0,2011-11-01 00:00:00+00:00
1320192000,0.03,0.03,0.03,0.03,29,0,0,2011-11-02 00:00:00+00:00
1320278400,0.03,0.03,0.03,0.03,20,0,0,2011-11-03 00:00:00+00:00
1320364800,0.03,0.04,0.01,0.02,53,0,0,2011-11-04 00:00:00+00:00
1320451200,0.02,0.03,0.02,0.02,52,0,0,2011-11-05 00:00:00+00:00
1320537600,0.02,0.02,0.01,0.02,28,0,0,2011-11-06 00:00:00+00:00
1320624000,0.02,0.02,0.02,0.02,38,0,0,2011-11-07 00:00:00+00:00
1320710400,0.02,0.02,0.02,0.02,49,0,0,2011-11-08 00:00:00+00:00
1320796800,0.02,0.02,0.01,0.02,31,0,0,2011-11-09 00:00:00+00:00
1320883200,0.02,0.02,0.01,0.01,17,0,0,2011-11-10 00:00:00+00:00
1320969600,0.01,0.01,0.01,0.01,27,0,0,2011-11-11 00:00:00+00:00
1321056000,0.02,0.02,0.02,0.02,25,0,0,2011-11-12 00:00:00+00:00
1321142400,0.01,0.01,0.01,0.01,23,0,0,2011-11-13 00:00:00+00:00
1321228800,0.02,0.02,0.01,0.01,66,0,0,2011-11-14 00:00:00+00:00
1321315200,0.01,0.02,0.01,0.01,31,0,0,2011-11-15 00:00:00+00:00
1321401600,0.01,0.02,0.01,0.02,49,0,0,2011-11-16 00:00:00+00:00
1321488000,0.02,0.02,0.01,0.01,8,0,0,2011-11-17 00:00:00+00:00
1321574400,0.01,0.01,0.01,0.01,23,0,0,2011-11-18 00:00:00+00:00
1321660800,0.01,0.01,0.01,0.01,31,0,0,2011-11-19 00:00:00+00:00
1321747200,0.01,0.01,0.01,0.01,9,0,0,2011-11-20 00:00:00+00:00
1321833600,0.01,0.01,0.01,0.01,20,0,0,2011-11-21 00:00:00+00:00
1321920000,0.01,0.01,0.01,0.01,17,0,0,2011-11-22 00:00:00+00:00
1322006400,0.01,0.01,0.01,0.01,21,0,0,2011-11-23 00:00:00+00:00
1322092800,0.01,0.01,0.01,0.01,14,0,0,2011-11-24 00:00:00+00:00
1322179200,0.01,0.01,0.01,0.01,4,0,0,2011-11-25 00:00:00+00:00
1322265600,0.01,0.01,0.01,0.01,5,0,0,2011-11-26 00:00:00+00:00
1322352000,0.01,0.01,0.01,0.01,7,0,0,2011-11-27 00:00:00+00:00
1322438400,0.01,0.01,0.01,0.01,23,0,0,2011-11-28 00:00:00+00:00
1322524800,0.01,0.01,0.01,0.01,28,0,0,2011-11-29 00:00:00+00:00
1322611200,0.02,0.02,0.02,0.02,25,0,0,2011-11-30 00:00:00+00:00
1322697600,0.02,0.02,0.01,0.01,28,0,0,2011-12-01 00:00:00+00:00
1322784000,0.01,0.01,0.01,0.01,22,0,0,2011-12-02 00:00:00+00:00
1322870400,0.02,0.02,0.02,0.02,32,0,0,2011-12-03 00:00:00+00:00
1322956800,0.02,0.02,0.02,0.02,33,0,0,2011-12-04 00:00:00+00:00
1323043200,0.02,0.02,0.02,0.02,11,0,0,2011-12-05 00:00:00+00:00
1323129600,0.01,0.01,0.01,0.01,18,0,0,2011-12-06 00:00:00+00:00
1323216000,0.01,0.01,0.01,0.01,76,0,0,2011-12-07 00:00:00+00:00
1323302400,0.01,0.01,0.01,0.01,46,0,0,2011-12-08 00:00:00+00:00
1323388800,0.01,0.01,0.01,0.01,104,0,0,2011-12-09 00:00:00+00:00
1323475200,0.01,0.01,0.01,0.01,32,0,0,2011-12-10 00:00:00+00:00
1323561600,0.01,0.01,0.01,0.01,34,0,0,2011-12-11 00:00:00+00:00
1323648000,0.01,0.01,0.01,0.01,46,0,0,2011-12-12 00:00:00+00:00
1323734400,0.01,0.01,0.01,0.01,39,0,0,2011-12-13 00:00:00+00:00
1323820800,0.01,0.02,0.01,0.01,101,0,0,2011-12-14 00:00:00+00:00
1323907200,0.01,0.01,0.01,0.01,34,0,0,2011-12-15 00:00:00+00:00
1323993600,0.01,0.01,0.01,0.01,13,0,0,2011-12-16 00:00:00+00:00
1324080000,0.01,0.01,0.01,0.01,1,0,0,2011-12-17 00:00:00+00:00
1324166400,0.01,0.01,0.01,0.01,19,0,0,2011-12-18 00:00:00+00:00
1324252800,0.01,0.01,0.01,0.01,14,0,0,2011-12-19 00:00:00+00:00
1324339200,0.01,0.02,0.01,0.01,48,0,0,2011-12-20 00:00:00+00:00
1324425600,0.01,0.01,0.01,0.01,35,0,0,2011-12-21 00:00:00+00:00
1324512000,0.01,0.01,0.01,0.01,7,0,0,2011-12-22 00:00:00+00:00
1324598400,0.01,0.01,0.01,0.01,59,0,0,2011-12-23 00:00:00+00:00
1324684800,0.01,0.01,0.01,0.01,32,0,0,2011-12-24 00:00:00+00:00
1324771200,0.01,0.01,0.01,0.01,11,0,0,2011-12-25 00:00:00+00:00
1324857600,0.01,0.01,0.01,0.01,20,0,0,2011-12-26 00:00:00+00:00
1324944000,0.01,0.01,0.01,0.01,15,0,0,2011-12-27 00:00:00+00:00
1325030400,0.01,0.01,0.01,0.01,21,0,0,2011-12-28 00:00:00+00:00
1325116800,0.01,0.01,0.01,0.01,59,0,0,2011-12-29 00:00:00+00:00
1325203200,0.01,0.01,0.01,0.01,10,0,0,2011-12-30 00:00:00+00:00
1325289600,0.01,0.01,0.01,0.01,20,0,0,2011-12-31 00:00:00+00:00
1325376000,0.01,0.02,0.01,0.02,94,0,0,2012-01-01 00:00:00+00:00
1325462400,0.01,0.02,0.01,0.01,38,0,0,2012-01-02 00:00:00+00:00
1325548800,0.01,0.01,0.01,0.01,13,0,0,2012-01-03 00:00:00+00:00
1325635200,0.01,0.02,0.01,0.01,57,0,0,2012-01-04 00:00:00+00:00
1325721600,0.02,0.02,0.01,0.01,75,0,0,2012-01-05 00:00:00+00:00
1325808000,0.01,0.01,0.0,0.01,57,0,0,2012-01-06 00:00:00+00:00
1325894400,0.01,0.01,0.01,0.01,67,0,0,2012-01-07 00:00:00+00:00
1325980800,0.01,0.01,0.01,0.01,35,0,0,2012-01-08 00:00:00+00:00
1326067200,0.01,0.01,0.01,0.01,17,0,0,2012-01-09 00:00:00+00:00
1326153600,0.01,0.01,0.01,0.01,22,0,0,2012-01-10 00:00:00+00:00
1326240000,0.01,0.01,0.01,0.01,10,0,0,2012-01-11 00:00:00+00:00
1326326400,0.01,0.01,0.01,0.01,81,0,0,2012-01-12 00:00:00+00:00
1326412800,0.01,0.01,0.01,0.01,25,0,0,2012-01-13 00:00:00+00:00
1326499200,0.01,0.01,0.01,0.01,14,0,0,2012-01-14 00:00:00+00:00
1326585600,0.01,0.01,0.01,0.01,12,0,0,2012-01-15 00:00:00+00:00
1326672000,0.01,0.01,0.01,0.01,37,0,0,2012-01-16 00:00:00+00:00
1326758400,0.01,0.01,0.01,0.01,68,0,0,2012-01-17 00:00:00+00:00
1326844800,0.01,0.01,0.01,0.01,42,0,0,2012-01-18 00:00:00+00:00
1326931200,0.01,0.01,0.01,0.01,16,0,0,2012-01-19 00:00:00+00:00
1327104000,0.01,0.01,0.01,0.01,38,0,0,2012-01-21 00:00:00+00:00
1327968000,0.01,0.02,0.01,0.01,65,0,0,2012-01-31 00:00:00+00:00
1328054400,0.01,0.02,0.01,0.02,149,0,0,2012-02-01 00:00:00+00:00
1328140800,0.02,0.03,0.01,0.02,118,0,0,2012-02-02 00:00:00+00:00
1328227200,0.02,0.03,0.02,0.02,116,0,0,2012-02-03 00:00:00+00:00
1328313600,0.02,0.03,0.01,0.01,192,0,0,2012-02-04 00:00:00+00:00
