time,open,high,low,close,tick_volume,spread
1522702800,0.72155,0.72165,0.72122,0.72136,6455,0
1522706400,0.72134,0.72219,0.7205,0.72209,5407,0
1522710000,0.72209,0.72209,0.72111,0.72149,3365,0
1522713600,0.72084,0.72186,0.72084,0.72132,889,1
1522717200,0.72133,0.72147,0.72092,0.72095,761,3
1522720800,0.72099,0.72129,0.72005,0.72024,2174,2
1522724400,0.72023,0.72123,0.72022,0.72072,3304,0
1522728000,0.72073,0.72107,0.7195,0.72028,4176,0
1522731600,0.72029,0.72106,0.72019,0.72092,2770,0
1522735200,0.72093,0.72145,0.72054,0.72132,2782,0
1522738800,0.72131,0.72249,0.72121,0.72247,3432,0
1522742400,0.72254,0.72373,0.72248,0.72342,4147,0
1522746000,0.72342,0.72632,0.7231,0.72603,5708,0
1522749600,0.72604,0.72614,0.72498,0.72557,5774,0
1522753200,0.72555,0.72586,0.72461,0.72495,5446,0
1522756800,0.72496,0.72534,0.72457,0.72493,4176,0
1522760400,0.72493,0.72552,0.72439,0.72451,4020,0
1522764000,0.72451,0.72482,0.72439,0.72449,3636,0
1522767600,0.72449,0.72707,0.72449,0.72663,5848,0
1522771200,0.72664,0.72665,0.72524,0.72582,9525,0
1522774800,0.72582,0.72595,0.72462,0.72561,9501,0
1522778400,0.72561,0.72638,0.72549,0.72575,7486,0
1522782000,0.72575,0.72665,0.72575,0.7266,6058,0
1522785600,0.7266,0.72689,0.72579,0.72579,4645,0
1522789200,0.72579,0.72628,0.72557,0.72606,5047,0
1522792800,0.72606,0.7264,0.72481,0.72528,5468,0
1522796400,0.72529,0.72581,0.7249,0.72555,1576,0
1522800000,0.72539,0.72568,0.72539,0.72568,934,2
1522803600,0.72561,0.72631,0.72559,0.72621,899,1
1522807200,0.72621,0.72659,0.72578,0.72622,1738,0
1522810800,0.72623,0.72668,0.7255,0.72611,3207,0
1522814400,0.7261,0.72734,0.72601,0.72733,4430,0
1522818000,0.72733,0.72886,0.72728,0.72866,4277,0
1522821600,0.72865,0.72958,0.72843,0.72915,2623,0
1522825200,0.72915,0.7296,0.729,0.729,1697,0
1522828800,0.729,0.72905,0.728,0.72887,3729,0
1522832400,0.72887,0.72887,0.72798,0.72849,5703,0
1522836000,0.72848,0.72929,0.72789,0.72858,8713,0
1522839600,0.72858,0.72909,0.72726,0.72884,10125,0
1522843200,0.72885,0.72901,0.72809,0.72815,5374,0
1522846800,0.72815,0.72843,0.72735,0.72809,6796,0
1522850400,0.72809,0.72885,0.728,0.72873,4912,0
1522854000,0.72873,0.72943,0.72808,0.72912,7391,0
1522857600,0.72913,0.72978,0.72889,0.72904,7679,0
1522861200,0.72904,0.7299,0.72885,0.72943,9862,0
1522864800,0.72944,0.7297,0.72866,0.7296,6939,0
1522868400,0.72961,0.73076,0.72928,0.73056,5302,0
1522872000,0.73055,0.73093,0.72957,0.73055,5480,0
1522875600,0.73054,0.73102,0.73036,0.7308,5191,0
1522879200,0.7308,0.73109,0.73047,0.73074,4572,0
1522882800,0.73074,0.73075,0.73025,0.73055,2034,0
1522886400,0.73033,0.73112,0.72966,0.73104,1043,2
1522890000,0.73099,0.73187,0.73084,0.73176,1576,0
1522893600,0.73178,0.73209,0.73111,0.73181,1700,0
1522897200,0.73183,0.73224,0.73118,0.73154,3999,0
1522900800,0.73155,0.73173,0.7307,0.73091,4036,0
1522904400,0.73091,0.73114,0.73029,0.73035,2103,0
1522908000,0.73036,0.73045,0.72981,0.73025,2487,0
1522911600,0.73025,0.73029,0.72902,0.72913,3205,0
1522915200,0.72912,0.72923,0.72817,0.72844,3080,0
1522918800,0.72843,0.72902,0.72806,0.72894,4235,0
1522922400,0.72894,0.72976,0.72824,0.7286,5682,0
1522926000,0.72863,0.72905,0.72844,0.72853,4827,0
1522929600,0.72852,0.72868,0.72811,0.72824,4483,0
1522933200,0.72824,0.7286,0.72756,0.72856,3347,0
1522936800,0.72856,0.72921,0.72849,0.72902,4105,0
1522940400,0.72902,0.73045,0.72902,0.72913,8425,0
1522944000,0.72912,0.72965,0.7289,0.72911,8676,0
1522947600,0.72912,0.72921,0.72632,0.72714,9746,0
1522951200,0.72714,0.72748,0.72657,0.72712,6558,0
1522954800,0.72712,0.72736,0.7266,0.7267,5776,0
1522958400,0.7267,0.72713,0.72622,0.72683,4369,0
1522962000,0.72684,0.72734,0.72673,0.72699,3851,0
1522965600,0.727,0.72702,0.72632,0.72651,3093,0
1522969200,0.7265,0.72719,0.72623,0.72712,2018,0
1522972800,0.72702,0.72761,0.727,0.72716,803,1
1522976400,0.72717,0.72779,0.72675,0.72679,2191,1
1522980000,0.72679,0.727,0.7255,0.72617,4934,0
