time,open,high,low,close,tick_volume,spread
1682899200,0.61693,0.61804,0.61575,0.61692,275,79
1682901000,0.61692,0.61832,0.61674,0.61817,272,14
1682902800,0.61844,0.61846,0.61767,0.61776,571,0
1682904600,0.61777,0.61787,0.61737,0.6174,531,0
1682906400,0.61746,0.61764,0.61731,0.61736,767,0
1682908200,0.61736,0.61738,0.61708,0.61712,549,0
1682910000,0.61711,0.61765,0.61672,0.61682,960,0
1682911800,0.61682,0.61744,0.61672,0.61727,645,0
1682913600,0.61728,0.61764,0.61719,0.61762,922,0
1682915400,0.61762,0.61777,0.61721,0.61756,527,0
1682917200,0.61756,0.61761,0.61737,0.61754,542,0
1682919000,0.61755,0.61784,0.61741,0.6178,964,0
1682920800,0.61778,0.61856,0.61767,0.61849,1157,0
1682922600,0.61848,0.61851,0.61818,0.61849,1519,0
1682924400,0.61849,0.61891,0.61826,0.61878,758,0
1682926200,0.61877,0.61878,0.61821,0.61832,781,0
1682928000,0.61832,0.61842,0.61809,0.61825,753,0
1682929800,0.61823,0.61882,0.61801,0.61882,771,0
1682931600,0.61879,0.61884,0.61833,0.61858,1152,0
1682933400,0.61856,0.61901,0.61824,0.61848,812,0
1682935200,0.6185,0.61898,0.61824,0.61843,1035,0
1682937000,0.61846,0.61869,0.61811,0.61827,1409,0
1682938800,0.61823,0.61831,0.61788,0.61789,1453,0
1682940600,0.61782,0.61782,0.61745,0.61751,1062,0
1682942400,0.61751,0.61796,0.61739,0.61772,976,0
1682944200,0.61773,0.61782,0.6175,0.61776,795,0
1682946000,0.61775,0.61813,0.61766,0.61799,749,0
1682947800,0.61797,0.61808,0.61754,0.61806,883,0
1682949600,0.61806,0.61815,0.61744,0.61752,1142,0
1682951400,0.61751,0.61781,0.61719,0.61762,1275,0
1682953200,0.61758,0.61866,0.61732,0.61855,1119,0
1682955000,0.61856,0.61995,0.61838,0.61991,1440,0
1682956800,0.61994,0.61994,0.61931,0.6197,1093,0
1682958600,0.61973,0.61996,0.61911,0.61911,1565,0
1682960400,0.61913,0.61913,0.61748,0.61794,2335,0
1682962200,0.61797,0.61842,0.61735,0.61768,2052,0
1682964000,0.61765,0.61783,0.61666,0.61688,1472,0
