time,open,high,low,close,tick_volume,spread,real_volume,t
1735689600,190.4515,192.2535,189.8951,190.2235,1976,1647,0,2025-01-01 00:00:00+00:00
1735693200,190.2225,190.6215,188.3693,188.8214,2623,1849,0,2025-01-01 01:00:00+00:00
1735696800,188.8214,192.069,188.5364,191.908,3426,1819,0,2025-01-01 02:00:00+00:00
1735700400,191.896,191.988,189.7675,190.1835,3073,1661,0,2025-01-01 03:00:00+00:00
1735704000,190.1835,191.4465,189.8665,191.0522,2403,1579,0,2025-01-01 04:00:00+00:00
1735707600,191.0222,191.0522,189.563,189.8709,1594,1091,0,2025-01-01 05:00:00+00:00
1735711200,189.8735,189.8735,188.332,188.714,2204,1049,0,2025-01-01 06:00:00+00:00
1735714800,188.694,189.6981,188.4971,189.2031,2564,1399,0,2025-01-01 07:00:00+00:00
1735718400,189.0731,189.3655,188.3365,189.234,2172,1179,0,2025-01-01 08:00:00+00:00
1735722000,189.209,189.247,188.3676,188.869,1657,991,0,2025-01-01 09:00:00+00:00
1735725600,188.878,189.459,187.498,188.1584,2205,1131,0,2025-01-01 10:00:00+00:00
1735729200,188.1674,188.5789,186.9948,188.3111,998,1183,0,2025-01-01 11:00:00+00:00
1735732800,188.3211,190.061,188.2264,189.4325,3519,900,0,2025-01-01 12:00:00+00:00
1735736400,189.3915,190.4876,189.0135,190.2253,1727,900,0,2025-01-01 13:00:00+00:00
1735740000,190.2353,190.756,189.53,189.9945,878,1201,0,2025-01-01 14:00:00+00:00
1735743600,189.9855,190.1515,188.342,189.269,1619,1021,0,2025-01-01 15:00:00+00:00
1735747200,189.179,190.4266,188.359,190.2225,2907,1611,0,2025-01-01 16:00:00+00:00
1735750800,190.2225,191.2475,189.109,191.051,3716,2071,0,2025-01-01 17:00:00+00:00
1735754400,191.051,191.4058,188.8895,189.3215,3830,1681,0,2025-01-01 18:00:00+00:00
1735758000,189.3305,189.453,188.0288,189.422,3492,1419,0,2025-01-01 19:00:00+00:00
1735761600,189.412,190.8805,188.4975,190.1445,4311,1771,0,2025-01-01 20:00:00+00:00
1735765200,190.1445,192.6555,189.1545,191.927,3871,2291,0,2025-01-01 21:00:00+00:00
1735768800,191.887,193.093,191.103,192.915,3277,2271,0,2025-01-01 22:00:00+00:00
1735772400,191.995,194.1885,191.995,193.9355,4244,1541,0,2025-01-01 23:00:00+00:00
