time,open,high,low,close,tick_volume,spread
1522713600,0.95396,0.95549,0.95358,0.95481,1350,11
1522717200,0.95497,0.95522,0.95488,0.95501,535,5
1522720800,0.95501,0.95517,0.95467,0.95513,1280,0
1522724400,0.95513,0.95534,0.95479,0.95508,3819,0
1522728000,0.95507,0.95573,0.9548,0.95535,3455,0
1522731600,0.95534,0.95539,0.95515,0.95534,1748,0
1522735200,0.95533,0.95544,0.95505,0.95539,1515,0
1522738800,0.9554,0.95548,0.9551,0.95512,1308,0
1522742400,0.95512,0.95559,0.9551,0.95538,2063,0
1522746000,0.95539,0.95567,0.9535,0.95386,7670,0
1522749600,0.95386,0.95449,0.95343,0.95449,7218,0
1522753200,0.95446,0.95504,0.95328,0.95379,6502,0
1522756800,0.9538,0.95548,0.95376,0.95548,5496,0
1522760400,0.95547,0.95702,0.9547,0.95696,6617,0
1522764000,0.95697,0.95699,0.95622,0.95656,5441,0
1522767600,0.95655,0.95733,0.95593,0.95622,6136,0
1522771200,0.95625,0.95921,0.95566,0.95875,10637,0
1522774800,0.95875,0.9591,0.9583,0.95872,8932,0
1522778400,0.95875,0.95948,0.95809,0.95894,7574,0
1522782000,0.95894,0.95943,0.95851,0.95914,4505,0
1522785600,0.95913,0.95973,0.95903,0.95961,3703,0
1522789200,0.95961,0.95967,0.95875,0.95914,3491,0
1522792800,0.95914,0.95965,0.95874,0.95937,4491,0
1522796400,0.95936,0.95937,0.95865,0.95871,1557,0
1522800000,0.95856,0.95913,0.95789,0.95882,887,3
1522803600,0.9588,0.95893,0.95845,0.95848,736,7
1522807200,0.95848,0.9589,0.95837,0.95843,859,1
1522810800,0.95844,0.9588,0.95809,0.95826,3550,0
1522814400,0.95828,0.95847,0.95809,0.95817,2881,0
1522818000,0.95817,0.95817,0.95762,0.95795,2209,0
1522821600,0.95795,0.95834,0.95775,0.95788,1526,0
1522825200,0.95789,0.95799,0.95751,0.95797,1829,0
1522828800,0.95797,0.95824,0.95765,0.95788,2695,0
1522832400,0.95791,0.95899,0.95791,0.95875,4524,0
1522836000,0.95874,0.95994,0.95682,0.95686,10450,0
1522839600,0.95687,0.95814,0.9551,0.95813,12980,0
1522843200,0.95815,0.95866,0.95714,0.95866,7167,0
1522846800,0.95866,0.95906,0.95766,0.95847,8052,0
1522850400,0.95848,0.9589,0.95801,0.95844,5468,0
1522854000,0.95844,0.95951,0.958,0.95842,7932,0
1522857600,0.9584,0.95964,0.95807,0.95938,9103,0
1522861200,0.95939,0.95989,0.95844,0.95955,9455,0
1522864800,0.95956,0.9597,0.95922,0.95959,6716,0
1522868400,0.95959,0.95977,0.95929,0.95953,4161,0
1522872000,0.95953,0.96002,0.95942,0.96001,4244,0
1522875600,0.96004,0.96096,0.96004,0.96058,6057,0
1522879200,0.96058,0.96083,0.96017,0.96022,4523,0
1522882800,0.96021,0.96116,0.96021,0.9608,1936,0
1522886400,0.9608,0.96092,0.96015,0.96063,321,0
1522890000,0.96066,0.96066,0.96004,0.96018,1036,3
1522893600,0.96015,0.96033,0.96004,0.9601,1256,2
1522897200,0.96009,0.96042,0.96002,0.96038,3584,0
1522900800,0.96038,0.96125,0.96019,0.96115,2346,0
1522904400,0.96117,0.96134,0.96101,0.96111,1541,0
1522908000,0.96112,0.96127,0.9607,0.96092,2414,0
1522911600,0.96092,0.96158,0.96089,0.96146,2259,0
1522915200,0.96146,0.96175,0.9611,0.96146,2519,0
1522918800,0.96152,0.96223,0.96136,0.96172,6021,0
1522922400,0.96172,0.96306,0.961,0.96178,8252,0
1522926000,0.96177,0.96221,0.9612,0.96128,4885,0
1522929600,0.96128,0.9614,0.9598,0.96033,5427,0
1522933200,0.96034,0.9609,0.96015,0.96036,4256,0
1522936800,0.96037,0.96266,0.96018,0.96247,4928,0
1522940400,0.96246,0.96383,0.96176,0.96276,9741,0
1522944000,0.96276,0.96299,0.9614,0.96234,8431,0
1522947600,0.96233,0.964,0.96212,0.96327,9882,0
1522951200,0.96329,0.96385,0.96247,0.96334,7622,0
1522954800,0.96334,0.96335,0.96224,0.96274,5740,0
1522958400,0.96276,0.96392,0.96234,0.96339,5498,0
1522962000,0.9634,0.96369,0.963,0.96345,3660,0
1522965600,0.96345,0.96398,0.96334,0.96388,2102,0
1522969200,0.96389,0.9639,0.96341,0.96347,1373,0
1522972800,0.96354,0.96369,0.96316,0.9633,445,1
1522976400,0.96328,0.96365,0.96271,0.96271,2046,0
1522980000,0.96272,0.963,0.96188,0.9623,3953,0
1522983600,0.9623,0.96256,0.96195,0.96213,4376,0
1522987200,0.96213,0.96216,0.9614,0.96187,4974,0
1522990800,0.96188,0.96221,0.96183,0.96204,3479,0
1522994400,0.96203,0.96275,0.962,0.9626,4520,1
1522998000,0.9626,0.96336,0.96253,0.9629,6691,0
1523001600,0.96292,0.96319,0.96197,0.96253,6153,0
1523005200,0.96251,0.96355,0.96251,0.96325,9335,0
1523008800,0.96325,0.96438,0.96313,0.96342,8252,0
1523012400,0.96343,0.9637,0.96294,0.96327,6396,0
1523016000,0.96328,0.96328,0.96198,0.96283,4864,0
1523019600,0.96283,0.96343,0.96257,0.96339,4661,0
1523023200,0.96338,0.96419,0.96302,0.96396,4414,0
1523026800,0.96395,0.96494,0.96232,0.96295,18940,0
1523030400,0.96295,0.96328,0.9585,0.95997,21113,0
1523034000,0.95998,0.96102,0.95973,0.96076,14534,0
1523037600,0.96077,0.96091,0.95981,0.96029,11090,0
1523041200,0.96028,0.961,0.95984,0.96043,8952,0
1523044800,0.96043,0.96096,0.95895,0.95902,8464,0
1523048400,0.95903,0.9593,0.9578,0.95862,7523,0
1523052000,0.95862,0.95926,0.95838,0.95866,7163,0
