time,open,high,low,close,tick_volume,spread,real_volume,t
1032048000,4.54,4.72,4.5,4.63,1422,0,0,2002-09-15 00:00:00+00:00
1032134400,4.54,4.6,4.5,4.5600000000000005,284,0,0,2002-09-16 00:00:00+00:00
1032220800,4.54,4.57,4.5,4.57,272,0,0,2002-09-17 00:00:00+00:00
1032307200,4.59,4.65,4.5600000000000005,4.62,328,0,0,2002-09-18 00:00:00+00:00
1032393600,4.61,4.66,4.6,4.66,271,0,0,2002-09-19 00:00:00+00:00
1032480000,4.66,4.72,4.6,4.63,267,0,0,2002-09-20 00:00:00+00:00
1032739200,4.64,4.67,4.58,4.63,254,0,0,2002-09-23 00:00:00+00:00
1032825600,4.62,4.71,4.57,4.65,297,0,0,2002-09-24 00:00:00+00:00
1032912000,4.65,4.68,4.55,4.59,278,0,0,2002-09-25 00:00:00+00:00
1032998400,4.59,4.61,4.48,4.52,349,0,0,2002-09-26 00:00:00+00:00
1033084800,4.52,4.54,4.46,4.49,273,0,0,2002-09-27 00:00:00+00:00
1033344000,4.52,4.58,4.5,4.54,197,0,0,2002-09-30 00:00:00+00:00
1033430400,4.52,4.52,4.52,4.52,1,0,0,2002-10-01 00:00:00+00:00
1033516800,4.48,4.49,4.45,4.49,136,0,0,2002-10-02 00:00:00+00:00
1033603200,4.49,4.53,4.46,4.48,47,0,0,2002-10-03 00:00:00+00:00
1033689600,4.46,4.47,4.42,4.47,219,0,0,2002-10-04 00:00:00+00:00
1033948800,4.47,4.51,4.43,4.45,55,0,0,2002-10-07 00:00:00+00:00
1034035200,4.44,4.46,4.35,4.38,200,0,0,2002-10-08 00:00:00+00:00
1034121600,4.38,4.4,4.31,4.36,174,0,0,2002-10-09 00:00:00+00:00
1034208000,4.36,4.51,4.27,4.28,351,0,0,2002-10-10 00:00:00+00:00
1034294400,4.27,4.35,4.26,4.32,244,0,0,2002-10-11 00:00:00+00:00
1034553600,4.33,4.36,4.29,4.31,209,0,0,2002-10-14 00:00:00+00:00
1034640000,4.32,4.35,4.28,4.32,320,0,0,2002-10-15 00:00:00+00:00
1034726400,4.31,4.37,4.3,4.37,208,0,0,2002-10-16 00:00:00+00:00
1034812800,4.34,4.34,4.31,4.34,128,0,0,2002-10-17 00:00:00+00:00
1034899200,4.33,4.35,4.32,4.35,115,0,0,2002-10-18 00:00:00+00:00
1035158400,4.34,4.39,4.29,4.35,172,0,0,2002-10-21 00:00:00+00:00
1035244800,4.34,4.42,4.34,4.42,284,0,0,2002-10-22 00:00:00+00:00
1035331200,4.42,4.44,4.39,4.41,108,0,0,2002-10-23 00:00:00+00:00
1035417600,4.4,4.42,4.33,4.37,220,0,0,2002-10-24 00:00:00+00:00
1035504000,4.37,4.44,4.36,4.4,177,0,0,2002-10-25 00:00:00+00:00
1035763200,4.41,4.45,4.4,4.41,197,0,0,2002-10-28 00:00:00+00:00
1035849600,4.4,4.5,4.39,4.5,500,0,0,2002-10-29 00:00:00+00:00
1035936000,4.5,4.55,4.44,4.49,266,0,0,2002-10-30 00:00:00+00:00
1036022400,4.48,4.54,4.46,4.51,314,0,0,2002-10-31 00:00:00+00:00
1036108800,4.49,4.61,4.47,4.49,382,0,0,2002-11-01 00:00:00+00:00
1036368000,4.49,4.52,4.43,4.49,289,0,0,2002-11-04 00:00:00+00:00
1036454400,4.5,4.53,4.47,4.49,112,0,0,2002-11-05 00:00:00+00:00
1036540800,4.49,4.49,4.45,4.49,124,0,0,2002-11-06 00:00:00+00:00
1036627200,4.5,4.58,4.42,4.55,324,0,0,2002-11-07 00:00:00+00:00
1036713600,4.5600000000000005,4.62,4.51,4.53,268,0,0,2002-11-08 00:00:00+00:00
1036972800,4.52,4.5600000000000005,4.51,4.5600000000000005,101,0,0,2002-11-11 00:00:00+00:00
1037059200,4.55,4.59,4.54,4.59,266,0,0,2002-11-12 00:00:00+00:00
1037145600,4.6,4.65,4.51,4.5600000000000005,416,0,0,2002-11-13 00:00:00+00:00
1037232000,4.5600000000000005,4.62,4.51,4.5600000000000005,271,0,0,2002-11-14 00:00:00+00:00
1037318400,4.5600000000000005,4.6,4.53,4.57,209,0,0,2002-11-15 00:00:00+00:00
1037577600,4.57,4.6,4.51,4.54,193,0,0,2002-11-18 00:00:00+00:00
1037664000,4.55,4.6,4.53,4.55,191,0,0,2002-11-19 00:00:00+00:00
1037750400,4.55,4.57,4.5,4.54,204,0,0,2002-11-20 00:00:00+00:00
1037836800,4.53,4.5600000000000005,4.42,4.47,276,0,0,2002-11-21 00:00:00+00:00
1037923200,4.48,4.57,4.44,4.54,239,0,0,2002-11-22 00:00:00+00:00
1038182400,4.53,4.55,4.45,4.48,174,0,0,2002-11-25 00:00:00+00:00
1038268800,4.49,4.51,4.41,4.44,169,0,0,2002-11-26 00:00:00+00:00
1038355200,4.45,4.48,4.37,4.42,350,0,0,2002-11-27 00:00:00+00:00
1038441600,4.38,4.42,4.37,4.42,33,0,0,2002-11-28 00:00:00+00:00
1038528000,4.42,4.43,4.4,4.43,56,0,0,2002-11-29 00:00:00+00:00
1038787200,4.45,4.47,4.4,4.44,219,0,0,2002-12-02 00:00:00+00:00
1038873600,4.43,4.54,4.41,4.54,347,0,0,2002-12-03 00:00:00+00:00
1038960000,4.54,4.6,4.52,4.57,209,0,0,2002-12-04 00:00:00+00:00
1039046400,4.57,4.67,4.54,4.61,306,0,0,2002-12-05 00:00:00+00:00
1039132800,4.61,4.7,4.58,4.64,284,0,0,2002-12-06 00:00:00+00:00
1039392000,4.64,4.66,4.54,4.5600000000000005,347,0,0,2002-12-09 00:00:00+00:00
1039478400,4.61,4.64,4.5600000000000005,4.6,119,0,0,2002-12-10 00:00:00+00:00
1039564800,4.59,4.67,4.58,4.64,202,0,0,2002-12-11 00:00:00+00:00
1039651200,4.63,4.77,4.58,4.71,359,0,0,2002-12-12 00:00:00+00:00
1039737600,4.73,4.8100000000000005,4.64,4.67,277,0,0,2002-12-13 00:00:00+00:00
1039996800,4.68,4.74,4.62,4.71,302,0,0,2002-12-16 00:00:00+00:00
1040083200,4.72,4.77,4.58,4.63,538,0,0,2002-12-17 00:00:00+00:00
1040169600,4.63,4.6899999999999995,4.59,4.6899999999999995,371,0,0,2002-12-18 00:00:00+00:00
1040256000,4.6899999999999995,4.77,4.61,4.68,401,0,0,2002-12-19 00:00:00+00:00
1040342400,4.68,4.72,4.58,4.61,311,0,0,2002-12-20 00:00:00+00:00
1040601600,4.6,4.65,4.58,4.65,180,0,0,2002-12-23 00:00:00+00:00
1040688000,4.63,4.65,4.6,4.65,159,0,0,2002-12-24 00:00:00+00:00
1040860800,4.66,4.6899999999999995,4.64,4.6899999999999995,80,0,0,2002-12-26 00:00:00+00:00
1040947200,4.7,4.73,4.65,4.6899999999999995,379,0,0,2002-12-27 00:00:00+00:00
