id,symbol,direction,close_reason,partial_closed,actual_pips,t1_pips,t1_outcome,t2_pips,t2_outcome,mfe_pips,giveback_t1,giveback_t2
44,EURAUD,LONG,INVALIDATION,0,-7.2,34.7,TP,58.8,TP,100.7,41.9,66.0
45,NZDUSD,LONG,STOP_LOSS,0,-9.1,-9.1,SL,-9.1,SL,0.0,-0.0,-0.0
46,NZDUSD,SHORT,TRAILING_STOP,1,5.6,2.5,TP,22.0,TP,67.1,-3.1,16.4
47,USDCHF,SHORT,STOP_LOSS,0,-14.5,-14.7,SL,-14.7,SL,3.8,-0.2,-0.2
48,EURUSD,SHORT,TRAILING_STOP,1,2.2,1.4,TP,41.9,TP,83.7,-0.8,39.7
49,EURGBP,SHORT,INVALIDATION,0,-9.0,-13.7,SL,-13.7,SL,3.6,-4.7,-4.7
50,EURUSD,LONG,STOP_LOSS,0,-12.5,-12.5,SL,-12.5,SL,0.0,0.0,0.0
51,NZDUSD,SHORT,TAKE_PROFIT,1,14.4,13.8,TP,32.9,TP,39.4,-0.6,18.5
52,EURAUD,LONG,TAKE_PROFIT,1,9.5,10.4,TP,-52.6,SL,14.5,0.9,-62.1
53,USDCHF,SHORT,STOP_LOSS,0,-12.6,-12.6,SL,-12.6,SL,0.5,0.0,0.0
54,EURUSD,SHORT,INVALIDATION,0,-14.4,-21.4,SL,-21.4,SL,16.9,-7.0,-7.0
55,NZDUSD,LONG,STOP_LOSS,0,-11.5,-11.1,SL,-11.1,SL,0.1,0.4,0.4
56,EURAUD,LONG,STOP_LOSS,0,-22.7,-16.3,SL,-16.3,SL,0.0,6.4,6.4
57,EURGBP,SHORT,STOP_LOSS,0,-8.0,-8.4,SL,-8.4,SL,1.4,-0.4,-0.4
58,USDCHF,LONG,TARGET_2,1,32.5,16.7,TP,31.3,TP,46.4,-15.8,-1.2
59,EURAUD,SHORT,STOP_LOSS,0,-40.8,-40.4,SL,-40.4,SL,0.0,0.4,0.4
60,USDCHF,SHORT,STOP_LOSS,0,-15.4,13.3,TP,24.8,TP,93.3,28.7,40.2
61,NZDUSD,LONG,INVALIDATION,0,-5.2,-11.9,SL,-11.9,SL,11.5,-6.7,-6.7
62,EURAUD,SHORT,STOP_LOSS,0,-17.1,-17.0,SL,-17.0,SL,8.3,0.1,0.1
63,EURAUD,LONG,TRAILING_STOP,1,6.5,11.7,TP,44.5,TP,54.8,5.2,38.0
64,NZDUSD,SHORT,INVALIDATION,0,-7.9,13.6,TP,18.6,TP,74.2,21.5,26.5
65,EURUSD,SHORT,INVALIDATION,0,-24.2,-31.8,SL,-31.8,SL,32.7,-7.6,-7.6
66,EURGBP,LONG,INVALIDATION,0,-3.6,12.2,TP,-9.2,SL,12.6,15.8,-5.6
67,USDCHF,SHORT,TRAILING_STOP,1,3.7,6.5,TP,-23.0,SL,24.4,2.8,-26.7
68,USDCHF,LONG,INVALIDATION,0,-8.6,-12.0,SL,-12.0,SL,4.8,-3.4,-3.4
69,NZDUSD,SHORT,TRAILING_STOP,1,7.7,9.9,TP,34.5,TP,39.2,2.2,26.8
70,EURGBP,SHORT,INVALIDATION,0,-14.0,4.3,TP,-18.3,SL,20.0,18.3,-4.3
71,EURAUD,SHORT,INVALIDATION,0,-5.1,13.6,TP,-14.5,SL,18.1,18.7,-9.4
72,EURAUD,LONG,TRAILING_STOP,1,9.7,13.7,TP,-33.5,SL,19.6,4.0,-43.2
73,EURAUD,SHORT,TRAILING_STOP,1,26.1,24.0,TP,54.4,TP,216.9,-2.1,28.3
74,EURGBP,SHORT,INVALIDATION,0,-6.6,7.3,TP,13.8,TP,20.9,13.9,20.4
