id,symbol,close_reason,actual,mfe,t1_pips,t2_pips,sl_pips,P1_lock50_at15,P2_TP_at20,P3_chand_10p,P4_chand_15p,P5_chand_20p,P6_lock60_at15,P7a_60TP20_40trail10,P7b_60TP20_40trail15,P7c_60TP20_40trail20,P8a_60TP15_40trail15,P9_70TP20_30trail15,P10_50TP20_50trail15,mfe_bucket
44,EURAUD,INVALIDATION,-7.2,100.7,34.7,58.8,19.7,36.9,20.0,0.2,-4.8,-9.7,32.5,12.1,10.1,8.1,7.1,12.6,7.6,50p+
45,NZDUSD,STOP_LOSS,-9.1,-0.6,19.7,31.4,9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,0-5p
46,NZDUSD,TRAILING_STOP,5.6,67.1,2.5,22.0,19.4,18.5,20.0,5.6,0.6,21.5,17.8,14.2,12.2,20.6,9.2,14.2,10.3,50p+
47,USDCHF,STOP_LOSS,-14.5,3.8,12.2,17.1,14.7,-14.7,-14.7,-6.2,-11.2,-14.7,-14.7,-11.3,-13.3,-14.7,-13.3,-13.7,-13.0,0-5p
48,EURUSD,TRAILING_STOP,2.2,83.7,1.4,41.9,37.4,28.4,20.0,2.0,24.2,19.2,25.8,11.6,9.6,7.6,6.6,12.2,7.0,50p+
49,EURGBP,INVALIDATION,-9.0,3.6,20.9,37.4,13.7,-13.7,-13.7,-6.4,-11.4,-13.7,-13.7,-10.8,-12.8,-13.7,-12.8,-13.0,-12.5,0-5p
50,EURUSD,STOP_LOSS,-12.5,-7.6,25.7,44.0,12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,-12.5,
51,NZDUSD,TAKE_PROFIT,14.4,39.4,13.8,32.9,16.3,24.0,20.0,12.1,7.1,17.7,22.2,16.8,14.8,19.1,11.8,16.1,13.6,30-50p
52,EURAUD,TAKE_PROFIT,9.5,14.5,10.4,56.8,52.6,-52.6,-52.6,4.5,-0.5,-5.5,-52.6,-35.5,-37.5,-33.7,-37.5,-41.3,-33.7,10-20p
53,USDCHF,STOP_LOSS,-12.6,0.5,16.2,30.4,12.6,-12.6,-12.6,-9.5,-12.6,-12.6,-12.6,-11.4,-12.6,-12.6,-12.6,-12.6,-12.6,0-5p
54,EURUSD,INVALIDATION,-14.4,16.9,31.3,65.6,21.4,-3.2,-21.4,3.5,1.4,-3.6,0.4,-11.4,-12.1,-14.1,9.8,-14.4,-9.7,10-20p
55,NZDUSD,STOP_LOSS,-11.5,0.1,22.3,35.1,11.1,-11.1,-11.1,-9.9,-11.1,-11.1,-11.1,-10.6,-11.1,-11.1,-11.1,-11.1,-11.1,0-5p
56,EURAUD,STOP_LOSS,-22.7,-26.4,36.7,56.9,16.3,-16.3,-16.3,-16.3,-16.3,-16.3,-16.3,-16.3,-16.3,-16.3,-16.3,-16.3,-16.3,
57,EURGBP,STOP_LOSS,-8.0,1.4,6.7,10.6,8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,-8.4,0-5p
58,USDCHF,TARGET_2,32.5,46.4,16.7,31.3,10.6,23.1,20.0,-0.1,27.1,22.1,21.5,11.0,22.8,20.8,19.8,22.1,23.6,30-50p
59,EURAUD,STOP_LOSS,-40.8,-10.7,18.6,56.8,40.4,-40.4,-40.4,-40.4,-40.4,-40.4,-40.4,-40.4,-40.4,-40.4,-40.4,-40.4,-40.4,
60,USDCHF,STOP_LOSS,-15.4,93.3,13.3,24.8,9.5,19.9,20.0,20.6,15.8,73.3,18.9,16.9,18.3,24.1,15.3,18.7,17.9,50p+
61,NZDUSD,INVALIDATION,-5.2,11.5,13.2,24.5,11.9,-11.9,-11.9,-0.8,-5.8,-8.5,-11.9,-7.5,-9.5,-10.5,-9.5,-10.1,-8.8,10-20p
62,EURAUD,STOP_LOSS,-17.1,8.3,50.6,75.8,17.0,-17.0,-17.0,-1.7,-6.7,-11.7,-17.0,-10.9,-12.9,-14.9,-12.9,-13.9,-11.9,5-10p
63,EURAUD,TRAILING_STOP,6.5,54.8,11.7,44.5,38.6,29.8,20.0,-8.7,-13.7,-6.9,26.8,8.5,6.5,4.5,3.5,9.9,3.1,50p+
64,NZDUSD,INVALIDATION,-7.9,74.2,13.6,18.6,15.8,16.8,20.0,-4.4,37.1,32.1,16.4,10.2,15.9,13.9,12.9,16.9,14.9,50p+
65,EURUSD,INVALIDATION,-24.2,32.7,37.4,86.9,31.8,-8.4,20.0,12.8,7.8,2.8,-3.7,13.2,15.1,13.1,12.1,16.3,13.9,30-50p
66,EURGBP,INVALIDATION,-3.6,12.6,12.2,22.2,9.2,-9.2,-9.2,2.6,-2.4,-7.4,-9.2,-4.5,-6.5,-8.5,-6.5,-7.2,-5.8,10-20p
