id,symbol,direction,score,opened_at,pnl_pips_flat12,outcome_flat12,actual_pnl_pips,threshold,cum_pips
44,EURAUD,LONG,65.0,2026-03-27 09:00:13.357386+00:00,12.0,TP,-7.200000000000539,50,12.0
45,NZDUSD,LONG,60.0,2026-03-27 10:06:11.991731+00:00,-9.100728733107966,SL,-9.100000000000774,50,2.8992712668920344
46,NZDUSD,SHORT,70.87,2026-03-27 11:00:21.798770+00:00,12.0,TP,5.599999999998939,50,14.899271266892034
47,USDCHF,SHORT,65.0,2026-03-27 14:00:07.147714+00:00,-14.7407371905528,SL,-14.500000000000624,50,0.1585340763392349
48,EURUSD,SHORT,63.68,2026-03-27 15:08:27.141184+00:00,12.0,TP,2.1999999999988695,50,12.158534076339235
49,EURGBP,SHORT,75.0,2026-03-30 04:00:20.479515+00:00,-13.699999999999823,SL,-9.000000000000119,50,-1.5414659236605885
50,EURUSD,LONG,80.0,2026-03-30 06:45:44.659272+00:00,-12.486827859110594,SL,-12.5,50,-14.028293782771183
51,NZDUSD,SHORT,80.0,2026-03-30 07:00:48.771808+00:00,12.0,TP,14.399999999999968,50,-2.0282937827711827
52,EURAUD,LONG,70.0,2026-03-30 11:00:49.921874+00:00,12.0,TP,9.5,50,9.971706217228817
53,USDCHF,SHORT,75.0,2026-03-30 13:00:26.472579+00:00,-12.599999999999278,SL,-12.6,50,-2.628293782770461
54,EURUSD,SHORT,75.0,2026-03-31 02:00:42.033075+00:00,12.0,TP,-14.40000000000108,50,9.371706217229539
55,NZDUSD,LONG,60.0,2026-03-31 02:00:42.849806+00:00,-11.099999999999444,SL,-11.5,50,-1.7282937827699048
56,EURAUD,LONG,85.0,2026-03-31 11:02:11.707133+00:00,-16.300000000000203,SL,-22.7,50,-18.028293782770106
57,EURGBP,SHORT,80.0,2026-03-31 11:08:31.922124+00:00,-8.412619361859441,SL,-8.00000000000023,50,-26.440913144629548
58,USDCHF,LONG,80.0,2026-03-31 12:01:22.097110+00:00,12.0,TP,32.49999999999975,50,-14.440913144629548
59,EURAUD,SHORT,50.23,2026-03-31 13:00:54.082182+00:00,-40.40000000000043,SL,-40.79999999999861,50,-54.84091314462998
60,USDCHF,SHORT,70.0,2026-03-31 19:38:46.410732+00:00,12.0,TP,-15.399999999999858,50,-42.84091314462998
61,NZDUSD,LONG,65.0,2026-04-01 13:13:43.697634+00:00,-11.900000000000244,SL,-5.199999999999649,50,-54.74091314463023
62,EURAUD,SHORT,70.0,2026-04-01 17:00:26.946138+00:00,-17.000000000000348,SL,-17.1,50,-71.74091314463058
63,EURAUD,LONG,75.0,2026-04-01 20:00:23.244413+00:00,12.0,TP,6.5,50,-59.74091314463058
64,NZDUSD,SHORT,64.58,2026-04-01 23:00:49.854960+00:00,12.0,TP,-7.900000000000684,50,-47.74091314463058
65,EURUSD,SHORT,80.0,2026-04-02 03:57:06.766868+00:00,12.0,TP,-24.200000000000887,50,-35.74091314463058
66,EURGBP,LONG,76.35,2026-04-02 03:57:07.266806+00:00,12.0,TP,-3.6000000000002697,50,-23.740913144630582
