id,symbol,direction,entry_price,target_1,target_2,stop_loss,close_price,pnl,pnl_pips,close_reason,partial_closed,partial_close_price,partial_close_at,opened_at,closed_at,lot_size,intended_entry,intended_sl,slippage,mt5_ticket,mt5_ticket_partial,pnl_estimated,pattern_id,pattern_metadata
44,EURAUD,LONG,1.67052,1.6739899999999999,1.6763949999999999,1.66855,1.6698,-1.99,-7.200000000000539,INVALIDATION,0,,,2026-03-27 09:00:13.357386,2026-03-27 11:00:28.764446,0.04,1.67041,1.6687371937768452,0.0001100000000000545,1560307369,,0,121,
45,NZDUSD,LONG,0.57737,0.57934,0.5805100000000001,0.5764599271266893,0.57646,-5.46,-9.100000000000774,STOP_LOSS,0,,,2026-03-27 10:06:11.991731,,0.06,0.57715,0.5765599271266892,0.00021999999999999797,1560401620,,0,123,
46,NZDUSD,SHORT,0.57649,0.57624,0.57429,0.5784266394558161,0.57593,0.56,5.599999999998939,TRAILING_STOP,1,0.57621,2026-03-27 11:58:33.562967,2026-03-27 11:00:21.798770,,0.02,0.5766,0.578316639455816,0.0001100000000000545,1560500828,,0,127,
47,USDCHF,SHORT,0.79606,0.79484,0.79435,0.7975340737190553,0.79751,-3.64,-14.500000000000624,STOP_LOSS,0,,,2026-03-27 14:00:07.147714,2026-03-27 15:16:21.464437,0.02,0.7975,0.7974240737190552,0.0014399999999999968,1560909685,,0,141,
48,EURUSD,SHORT,1.15268,1.1525400000000001,1.1484900000000002,1.15642,1.15246,0.22,2.1999999999988695,TRAILING_STOP,1,1.15247,2026-03-27 15:56:22.305140,2026-03-27 15:08:27.141184,,0.01,1.15293,1.1563035548010965,0.0002500000000000835,1561137375,,0,142,
49,EURGBP,SHORT,0.8676,0.86551,0.863865,0.86897,0.8685,-3.57,-9.000000000000119,INVALIDATION,0,,,2026-03-30 04:00:20.479515,2026-03-30 08:20:53.322879,0.03,0.86829,0.8688315957749105,0.0006899999999999684,1563068635,,0,170,
50,EURUSD,LONG,1.15204,1.15461,1.1564399999999997,1.150791317214089,1.15079,-5.0,-12.5,STOP_LOSS,0,,,2026-03-30 06:45:44.659272,2026-03-30 10:01:45.000000,0.04,1.15191,1.1508813172140888,0.00012999999999996348,1563314296,,0,172,
51,NZDUSD,SHORT,0.57372,0.57234,0.5704299999999999,0.5753466624262119,0.57228,2.88,14.399999999999968,TAKE_PROFIT,1,0.57225,2026-03-30 08:21:23.786504,2026-03-30 07:00:48.771808,2026-03-30 11:26:53.991219,0.03,0.574,0.5752266624262119,0.00027999999999994696,1563346917,,0,177,
52,EURAUD,LONG,1.67563,1.67667,1.681305,1.670373792385091,1.67658,0.65,9.5,TAKE_PROFIT,1,1.67658,2026-03-30 14:05:50.570597,2026-03-30 11:00:49.921874,2026-03-30 17:05:50.000000,0.01,1.6740599999999999,1.670523792385091,0.0015700000000000713,1563776767,,0,184,
53,USDCHF,SHORT,0.79954,0.79792,0.7965,0.8008,0.8008,-4.72,-12.6,STOP_LOSS,0,,,2026-03-30 13:00:26.472579,2026-03-30 17:15:38.000000,0.03,0.79986,0.8006985484606172,0.00031999999999998696,1564085221,,0,187,
54,EURUSD,SHORT,1.14744,1.14431,1.14088,1.1495791921727883,1.1488800000000001,-2.9,-14.400000000001079,INVALIDATION,0,,,2026-03-31 02:00:42.033075,2026-03-31 11:45:45.534121,0.02,1.1476,1.1494791921727883,0.00015999999999993797,1565648694,,0,188,
55,NZDUSD,LONG,0.5727,0.57493,0.5762100000000001,0.57159,0.57155,-4.6,-11.5,STOP_LOSS,0,,,2026-03-31 02:00:42.849806,2026-03-31 06:40:29.000000,0.04,0.57207,0.5716775438474844,0.0006300000000000194,1565648855,,0,189,
56,EURAUD,LONG,1.67266,1.67633,1.67835,1.67103,1.67039,-146.46,-22.7,STOP_LOSS,0,,,2026-03-31 11:02:11.707133,2026-03-31 14:11:17.000000,0.94,1.67256,1.6712387962794317,9.999999999998899e-05,1566592843,,0,200,
57,EURGBP,SHORT,0.86824,0.86757,0.867185,0.869081261936186,0.86904,-99.57,-8.00000000000023,STOP_LOSS,0,,,2026-03-31 11:08:31.922124,2026-04-01 16:57:38.908177,0.94,0.86876,0.8689712619361859,0.0005199999999999649,1566602909,,0,201,
58,USDCHF,LONG,0.79962,0.80129,0.802745,0.7985563634105141,0.80287,125.87,32.49999999999975,TARGET_2,1,0.8017,2026-03-31 14:53:27.440512,2026-03-31 12:01:22.097110,2026-03-31 14:57:14.430454,0.78,0.79952,0.7986663634105141,9.999999999998899e-05,1566776901,,0,202,
59,EURAUD,SHORT,1.67283,1.67097,1.66715,1.67687,1.67691,-103.75,-40.79999999999861,STOP_LOSS,0,,,2026-03-31 13:00:54.082182,2026-04-01 16:57:39.998398,0.37,1.67387,1.6766844281330675,0.0010399999999999299,1566939021,,0,204,
60,USDCHF,SHORT,0.79984,0.79851,0.797355,0.8007893161381496,0.80138,-167.19,-15.399999999999858,STOP_LOSS,0,,,2026-03-31 19:38:46.410732,2026-04-01 16:57:41.056924,0.87,0.79992,0.8006993161381496,7.999999999996898e-05,1567987400,,0,208,
61,NZDUSD,LONG,0.57643,0.57775,0.578885,0.57524,0.57591,-41.65,-5.199999999999649,INVALIDATION,0,,,2026-04-01 13:13:43.697634,2026-04-01 17:58:01.959052,0.85,0.5762,0.5753252860919165,0.00022999999999995246,1569269221,,0,224,
62,EURAUD,SHORT,1.67244,1.66738,1.6648550000000002,1.67414,1.67415,-102.98,-17.1,STOP_LOSS,0,,,2026-04-01 17:00:26.946138,2026-04-01 18:18:04.209735,0.87,1.67267,1.673996662372338,0.0002300000000001745,1569770463,,0,236,
63,EURAUD,LONG,1.6733799999999999,1.67455,1.6778349999999997,1.6695152420828292,1.67331,16.62,6.5,TRAILING_STOP,1,1.67452,2026-04-02 01:05:37.086436,2026-04-01 20:00:23.244413,2026-04-02 01:11:09.957025,0.37,1.67257,1.6696852420828292,0.0008099999999999774,1570083933,,0,245,
64,NZDUSD,SHORT,0.57517,0.57381,0.5733100000000002,0.57675,0.57596,-51.03,-7.900000000000684,INVALIDATION,0,,,2026-04-01 23:00:49.854960,2026-04-02 01:11:12.876644,0.63,0.57652,0.5766329281937977,0.0013500000000000734,1570236580,,0,249,
65,EURUSD,SHORT,1.1538,1.15006,1.145105,1.15698,1.15622,-73.47,-24.200000000000887,INVALIDATION,0,,,2026-04-02 03:57:06.766868,2026-04-06 07:50:16.717385,0.31,1.15397,1.1569121587363842,0.00017000000000000348,1570806868,,0,234,
66,EURGBP,LONG,0.87215,0.87337,0.8743749999999999,0.8712309475345098,0.87179,-39.07,-3.6000000000002697,INVALIDATION,0,,,2026-04-02 03:57:07.266806,2026-04-03 00:58:47.376814,0.82,0.87202,0.8713809475345098,0.00012999999999996348,1570806973,,0,238,
