id,symbol,direction,opened_at,score,sim_pnl_12p,outcome,actual_pnl_pips,adr_pips,atr_pips,ema_align,kz_name,kz_range_pips,hour_utc,dow,adr_bucket,atr_bucket,kz_range_bucket,hour_block
44,EURAUD,LONG,2026-03-27 09:00:13.357386+00:00,65.0,12.0,TP,-7.200000000000539,112.61428571428549,17.96428571428572,1,,,9,4,high,high,,london_7_12
45,NZDUSD,LONG,2026-03-27 10:06:11.991731+00:00,60.0,-9.100728733107966,SL,-9.100000000000774,65.3499999999999,5.785714285714362,0,,,10,4,mid,low,,london_7_12
46,NZDUSD,SHORT,2026-03-27 11:00:21.798770+00:00,70.87,12.0,TP,5.599999999998939,65.3499999999999,6.221428571428647,1,,,11,4,mid,low,,london_7_12
47,USDCHF,SHORT,2026-03-27 14:00:07.147714+00:00,65.0,-14.7407371905528,SL,-14.500000000000624,63.121428571428446,8.371428571428616,0,,,14,4,mid,mid,,ny_morning_12_16
48,EURUSD,SHORT,2026-03-27 15:08:27.141184+00:00,63.68,12.0,TP,2.1999999999988695,82.2999999999999,10.814285714285665,1,,,15,4,high,mid,,ny_morning_12_16
49,EURGBP,SHORT,2026-03-30 04:00:20.479515+00:00,75.0,-13.699999999999823,SL,-9.000000000000119,29.09999999999984,4.814285714285692,0,,,4,0,low,low,,pre_london_4_7
50,EURUSD,LONG,2026-03-30 06:45:44.659272+00:00,80.0,-12.486827859110594,SL,-12.5,73.13571428571412,7.978571428571993,0,,,6,0,mid,mid,,pre_london_4_7
51,NZDUSD,SHORT,2026-03-30 07:00:48.771808+00:00,80.0,12.0,TP,14.399999999999968,58.73571428571438,7.000000000000101,1,,,7,0,low,low,,london_7_12
52,EURAUD,LONG,2026-03-30 11:00:49.921874+00:00,70.0,12.0,TP,9.5,104.31428571428566,14.828571428571665,1,,,11,0,high,high,,london_7_12
53,USDCHF,SHORT,2026-03-30 13:00:26.472579+00:00,75.0,-12.599999999999278,SL,-12.6,60.928571428571374,7.464285714285923,0,,,13,0,mid,mid,,ny_morning_12_16
54,EURUSD,SHORT,2026-03-31 02:00:42.033075+00:00,75.0,12.0,TP,-14.40000000000108,78.27142857142842,9.650000000000254,1,,,2,1,mid,mid,,asian_0_4
55,NZDUSD,LONG,2026-03-31 02:00:42.849806+00:00,60.0,-11.099999999999444,SL,-11.5,60.54285714285726,7.714285714285737,0,,,2,1,mid,mid,,asian_0_4
56,EURAUD,LONG,2026-03-31 11:02:11.707133+00:00,85.0,-16.300000000000203,SL,-22.7,110.03571428571381,21.83571428571412,0,,,11,1,high,high,,london_7_12
57,EURGBP,SHORT,2026-03-31 11:08:31.922124+00:00,80.0,-8.412619361859441,SL,-8.00000000000023,30.542857142857,5.942857142857218,0,,,11,1,low,low,,london_7_12
58,USDCHF,LONG,2026-03-31 12:01:22.097110+00:00,80.0,12.0,TP,32.49999999999975,61.335714285714204,7.128571428571658,1,,,12,1,mid,low,,ny_morning_12_16
59,EURAUD,SHORT,2026-03-31 13:00:54.082182+00:00,50.23,-40.40000000000043,SL,-40.79999999999861,110.03571428571381,21.83571428571459,0,,,13,1,high,high,,ny_morning_12_16
60,USDCHF,SHORT,2026-03-31 19:38:46.410732+00:00,70.0,12.0,TP,-15.399999999999858,63.56428571428564,14.078571428571431,0,,,19,1,mid,high,,ny_evening_16_21
61,NZDUSD,LONG,2026-04-01 13:13:43.697634+00:00,65.0,-11.900000000000244,SL,-5.199999999999649,60.700000000000195,10.607142857142719,1,,,13,2,mid,mid,,ny_morning_12_16
62,EURAUD,SHORT,2026-04-01 17:00:26.946138+00:00,70.0,-17.000000000000348,SL,-17.1,115.07857142857085,18.678571428571512,0,,,17,2,high,high,,ny_evening_16_21
63,EURAUD,LONG,2026-04-01 20:00:23.244413+00:00,75.0,12.0,TP,6.5,115.07857142857085,16.078571428571134,1,,,20,2,high,high,,ny_evening_16_21
64,NZDUSD,SHORT,2026-04-01 23:00:49.854960+00:00,64.58,12.0,TP,-7.900000000000684,60.700000000000195,7.885714285714321,1,,,23,2,mid,mid,,late_21_24
